"","階層","種名","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","頻度","総合優占度"
"47","C","コイワカガミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"48","C","コカンスゲ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"49","C","サカゲイノデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"50","C","サラシナショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"51","C","サワダツ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"52","C","サンカヨウ",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"53","C","シノブカグマ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",1.26491106406735
"54","C","ジュウモンジシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"55","C","シラネアオイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"56","C","シラネワラビ",6,6,7,4,6,6,6,5,6,5,6,5,5,5,5,5,5,6,5,6,5,7,6,6,6,"Ⅴ",74.8331477354788
"57","C","スミレサイシン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,"Ⅰ",0.894427190999916
"58","C","タケシマラン",0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,"Ⅱ",5.3665631459995
"59","C","タチシオデ",0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,"Ⅱ",6.26099033699941
"60","C","タニギキョウ",0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,"Ⅰ",4.47213595499958
"61","C","チゴユリ",0,1,1,0.5,0.5,0.5,0.5,4,0,1,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0,"Ⅲ",17.3205080756888
"62","C","ツクバネソウ",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,"Ⅰ",2.68328157299975
"63","C","ツルアリドオシ",0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,3,2,1,0,0.5,0.5,0.5,0,0,0,0,0,0,0,"Ⅲ",16.0499221181911
"64","C","ツルリンドウ",0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,"Ⅰ",3.57770876399966
"65","C","テンニンソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0,0,0,0,3,0,0,0,0.5,"Ⅰ",7.15541752799933
"66","C","トチバニンジン",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,"Ⅰ",1.78885438199983
"67","C","ナライシダ",0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",4
"68","C","ハイイヌツゲ",0,0,0,0,0,0,0.5,0.5,0,0,0,2,0,0,0,2,1,0,0,0,0.5,0,0,0,0.5,"Ⅱ",8.85437744847146
"69","C","ヒメカンアオイ",0.5,0.5,2,0.5,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅱ",8.19756061276768
"70","C","ヒメモチ",1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,2,2,1,0.5,5,0,0.5,0.5,2,1,0.5,0.5,0.5,0.5,0.5,0.5,"Ⅴ",30.0399733688297
"71","C","ヒロバスゲ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"72","C","ヒロハユキザサ",0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",1.78885438199983
"73","C","ホウチャクソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"74","C","マイヅルソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"75","C","ミヤマイタチシダ",0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ⅰ",1.78885438199983
"76","C","ミヤマイボタ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,"Ⅰ",0.894427190999916
"77","C","ミヤマウズラ",0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,"Ⅰ",2.68328157299975
"78","C","ミヤマカンスゲ",5,5,4,4,4,4,4,3,4,4,6,6,3,6,4,5,4,5,4,2,5,4,2,3,5,"Ⅴ",64.8074069840786
"79","C","ミヤマシキミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"80","C","ヤマイヌワラビ",0,0,0,0,0,0.5,0,0,0.5,0.5,1,0.5,0.5,1,1,0.5,0,0,0,0.5,0.5,0,0,0,0.5,"Ⅲ",12
"81","C","ヤマソテツ",3,1,1,2,6,4,4,0.5,4,5,4,4,3,5,4,3,4,4,2,4,5,2,2,3,2,"Ⅴ",57.0964096944808
"82","C","ヤマドリゼンマイ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,1,0,0.5,0,0,"Ⅰ",4.38178046004133
"83","C","ユキザサ",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,0.5,0.5,0,0.5,0.5,1,2,0.5,0,0.5,0.5,0.5,"Ⅴ",23.4946802489415
"84","S","チシマザサ",5,6,6,6,4,6,6,5,5,5,7,6,6,5,6,5,5,4,5,6,5,5,5,5,6,"Ⅴ",73.4846922834953
