サブプロット,階層,種名,DK2000,被度2007,被度2013,被度2019,被度2025,date,photo
3,C,チゴユリ,3,3,1,1,0.1,2025/08/18,
3,C,ツクバネソウ,0.5,0,0,0,,2025/08/18,
3,C,ツルアリドオシ,3,8,1,0.8,1,2025/08/18,
3,C,ツルリンドウ,0,0.5,0.5,0,,2025/08/18,
3,C,ハイイヌツゲ,0.5,0,0,0,,2025/08/18,
3,C,ヒメカンアオイ,0.5,1,3,2,1,2025/08/18,
3,C,ヒメモチ,0,0,1,0.5,0.33,2025/08/18,
3,C,ホソバナライシダ,0,4,0.5,0,0.5,2025/08/18,00:10:42
3,C,マイヅルソウ,0,0.5,0.5,0,,2025/08/18,
3,C,ミヤマカンスゲ,0,6,8,8,6,2025/08/18,
3,C,ミヤマシキミ,0,0.5,0,0,,2025/08/18,
3,C,ヤマソテツ,4,3,1,1,0.5,2025/08/18,
3,C,ユキザサ,1,2,0.5,0.5,0.1,2025/08/18,
3,S,チシマザサ,8,50,35,30,30,2025/08/18,
3,,コマユミ,,,,,0.1,2025/08/18,
3,,ヤマイヌワラビ,,,,,0.1,2025/08/18,00:10:47
4,B2,アオダモ,0,0.5,1,3,2,2025/08/18,
4,B2,イタヤカエデ,0,0,0.5,0,,2025/08/18,
4,B2,ウリハダカエデ,0,4,4,2,1,2025/08/18,
4,B2,ウワミズザクラ,3,4,1,3,1,2025/08/18,
4,B2,エゾユズリハ,0,0.5,1,0,,2025/08/18,
4,B2,オオカメノキ,6,20,15,20,0.15,2025/08/18,
4,B2,オオバクロモジ,5,6,1,4,0.3,2025/08/18,
4,B2,コシアブラ,0.5,0,2,1.5,1,2025/08/18,
4,B2,コマユミ,0.5,0,0.5,0.5,0.1,2025/08/18,
4,B2,トチノキ,0,0,0.5,0,,2025/08/18,
4,B2,ナナカマド,0,0.5,1,1,0.2,2025/08/18,
4,B2,ハウチワカエデ,0,15,7,6.5,3,2025/08/18,
4,B2,ヒメアオキ,3,1,1,0.5,0.4,2025/08/18,
4,B2,ブナ,5,12,3,6,3.5,2025/08/18,
4,B2,ホオノキ,0,0,3,1,,2025/08/18,
4,B2,マユミ,5,0,0,0,,2025/08/18,
4,B2,ミズキ,3,0,0,0,,2025/08/18,
4,B2,ヤマウルシ,0,5,1,0.5,0.3,2025/08/18,
4,C,コカンスゲ,3,0,0,0,,2025/08/18,
4,C,サワダツ,0,0,0.5,0,,2025/08/18,
4,C,シラネワラビ,5,10,7,8,6,2025/08/18,
4,C,チゴユリ,1,1,0.5,0.5,,2025/08/18,
4,C,ハイイヌツゲ,0.5,0,0,0,,2025/08/18,
4,C,ヒメカンアオイ,0,0,1,0.5,,2025/08/18,
4,C,ヒメモチ,0,0,1,1,,2025/08/18,
4,C,ホソバナライシダ,0,5,2,0,0.25,2025/08/18,00:10:53
4,C,ミヤマカンスゲ,0,5,15,8,5,2025/08/18,
4,C,ヤマイヌワラビ,0,0.5,0,0,0.5,2025/08/18,00:10:55
4,C,ヤマソテツ,4,3,10,2.5,5,2025/08/18,
4,C,ユキザサ,0.5,0.5,0.5,0.5,0.2,2025/08/18,
4,S,チシマザサ,8,60,30,20,20,2025/08/18,
4,,ツリバナ,,,,,0.1,2025/08/18,
4,,エンレイソウ,,,,,0.1,2025/08/18,
5,B2,アオダモ,0,0,0.5,0,0.1,2025/08/18,
5,B2,イタヤカエデ,0,0,0.5,0.5,,2025/08/18,
5,B2,ウリハダカエデ,0,8,20,10,6,2025/08/18,
5,B2,ウワミズザクラ,4,2,5,4,2.5,2025/08/18,
5,B2,オオカメノキ,5,15,4,15,10,2025/08/18,
5,B2,オオバクロモジ,5,5,2,6,3,2025/08/18,
5,B2,コシアブラ,0,0.5,0.5,0.7,0.5,2025/08/18,
5,B2,コマユミ,0,0.5,0.5,0.5,0.2,2025/08/18,
5,B2,タニウツギ,0,0,3,0,,2025/08/18,
5,B2,ツリバナ,0,1,0,0.5,,2025/08/18,
5,B2,トチノキ,0,0.5,0.5,0.5,,2025/08/18,
5,B2,ノリウツギ,0,2,1,3,2,2025/08/18,
5,B2,ハウチワカエデ,0,0,0.5,1,0.5,2025/08/18,
5,B2,ブナ,6,30,20,6,3,2025/08/18,
5,B2,ミズキ,4,0,0,0,,2025/08/18,
5,B2,ヤマウルシ,0,0,0,0.5,1,2025/08/18,
5,C,ギンリョウソウ,0,0,0,0.5,,2025/08/18,
5,C,サワダツ,0,0,0.5,0,,2025/08/18,
5,C,シノブカグマ,0,0,0.5,0,,2025/08/18,
5,C,シラネワラビ,6,20,15,30,29,2025/08/18,
5,C,タニギキョウ,0,0,0.5,0.5,,2025/08/18,
5,C,チゴユリ,1,1,0.5,0.5,1,2025/08/18,
5,C,ツルアリドオシ,2,3,0,0.5,,2025/08/18,
5,C,トチバニンジン,0,0.5,0,0,,2025/08/18,
5,C,ハイイヌツゲ,1,0,0,0,,2025/08/18,
5,C,ヒメカンアオイ,4,0,0,0,,2025/08/18,
5,C,ヒメモチ,3,1,0.5,0.5,0.1,2025/08/18,
5,C,ヒロハユキザサ,0,0,0.5,0,,2025/08/18,
5,C,マイヅルソウ,0,0.5,0,0,,2025/08/18,
5,C,ミヤマイタチシダ,0,0,0,0.5,,2025/08/18,
5,C,ミヤマウズラ,0,0.5,0,0,,2025/08/18,
5,C,ミヤマカンスゲ,0,10,5,8,7,2025/08/18,
5,C,ヤマソテツ,5,10,10,20,9,2025/08/18,
5,C,ユキザサ,0.5,0.5,5,0.5,0.1,2025/08/18,
5,S,チシマザサ,7,35,10,7,8,2025/08/18,
5,,ヒナウチワカエデ,,,,,0.1,2025/08/18,00:11:08
5,,ヤマドリゼンマイ,,,,,0.1,2025/08/18,00:11:12
6,B2,アオダモ,0,0.5,1,0,0.1,2025/08/18,
6,B2,イタヤカエデ,0,0,0.5,0.5,0.1,2025/08/18,
6,B2,ウリハダカエデ,0.5,5,1,1,0.3,2025/08/18,
6,B2,ウワミズザクラ,4,0.5,0.5,2,,2025/08/18,
6,B2,エゾユズリハ,0.5,0,0,0,0.5,2025/08/18,
6,B2,オオカメノキ,5,12,25,25,20,2025/08/18,
6,B2,オオバクロモジ,5,10,10,18,2,2025/08/18,
6,B2,コマユミ,6,0,0,0.5,,2025/08/18,
6,B2,ツノハシバミ,0.5,0,0,0,,2025/08/18,
6,B2,トチノキ,0,0.5,0.5,0.5,,2025/08/18,
6,B2,ハイイヌガヤ,0.5,20,4,7,0.5,2025/08/18,
6,B2,ヒメアオキ,3,5,10,2,4,2025/08/18,
6,B2,ブナ,0,10,1,0.5,0.1,2025/08/18,
6,B2,ミズキ,3,0,0,0,,2025/08/18,
6,B2,ヤマウルシ,0,3,2,0.5,1.5,2025/08/18,
6,C,オシダ,0,0.5,0.5,0.5,.,2025/08/18,
6,C,コカンスゲ,5,0,0,0,,2025/08/18,
6,C,シラネワラビ,5,18,30,32,25,2025/08/18,
6,C,タケシマラン,0,0,0.5,0.5,,2025/08/18,
6,C,チゴユリ,0,0.5,0.5,0.5,0.2,2025/08/18,
6,C,ツクバネソウ,0,0,0,0.5,,2025/08/18,
6,C,ツルアリドオシ,0.5,3,0.5,0.5,15,2025/08/18,
6,C,トチバニンジン,0,0.5,0,0.5,,2025/08/18,
6,C,ヒメカンアオイ,0,5,1,1.5,3.5,2025/08/18,
6,C,ヒメモチ,0,3,1,0.5,0.1,2025/08/18,
6,C,ミヤマカンスゲ,0,15,20,8,15,2025/08/18,
6,C,ヤマイヌワラビ,0,0.5,0.5,0.5,,2025/08/18,
6,C,ヤマソテツ,1,3,3,5,3.5,2025/08/18,
6,C,ユキザサ,3,3,1,0.5,0.1,2025/08/18,
6,S,チシマザサ,8,60,20,30,35,2025/08/18,
6,,コシアブラ,,,,,1,2025/08/18,
6,,ツルリンドウ,,,,,0.1,2025/08/18,
6,,ノリウツギ,,,,,0.1,2025/08/18,
7,B2,アオダモ,0,2,1,1,0.2,2025/08/18,
7,B2,イタヤカエデ,0,0.5,0.5,0.5,0.1,2025/08/18,
7,B2,ウリハダカエデ,0.5,4,3,6,4,2025/08/18,
7,B2,ウワミズザクラ,0,0,1,4,0.5,2025/08/18,
7,B2,エゾユズリハ,0,0,1,2,0.3,2025/08/18,
7,B2,オオカメノキ,5,15,20,23,22,2025/08/18,
7,B2,オオバクロモジ,5,10,7,15,6,2025/08/18,
7,B2,コシアブラ,0,1,2,1,1.5,2025/08/18,
7,B2,コマユミ,4,0,0.5,0.5,0.2,2025/08/18,
7,B2,トチノキ,0,0,0,0.5,,2025/08/18,
7,B2,ノリウツギ,0.5,0,0,0,,2025/08/18,
7,B2,ハイイヌガヤ,0.5,4,1,3,0.5,2025/08/18,
7,B2,ヒメアオキ,4,5,3,2,4,2025/08/18,
7,B2,ブナ,5,12,1,0.5,,2025/08/18,
7,B2,ミズキ,2,0,0.5,0,,2025/08/18,
7,B2,ヤマウルシ,0,5,2,3.5,0.1,2025/08/18,
7,C,イワカガミ,1,0,0,0,,2025/08/18,
7,C,コカンスゲ,4,0,0,0,,2025/08/18,
7,C,シラネワラビ,6,25,40,28,15,2025/08/18,
7,C,タチシオデ,0,0.5,0,0.5,,2025/08/18,
7,C,チゴユリ,0,0,0.5,0.5,0.1,2025/08/18,
7,C,ツルアリドオシ,0,0,0.5,0.5,1,2025/08/18,
7,C,ツルリンドウ,0,0.5,0,0.5,,2025/08/18,
7,C,ハイイヌツゲ,0.5,1,0.5,0.5,0.5,2025/08/18,
7,C,ヒメカンアオイ,0.5,0,1,0.5,,2025/08/18,
7,C,ヒメモチ,0,3,2,1,0.5,2025/08/18,
7,C,ホソバナライシダ,0,2,0.5,0.5,0.3,2025/08/18,
7,C,ミヤマイタチシダ,0,0,0,0.5,,2025/08/18,
7,C,ミヤマウズラ,0,0,0,0.5,,2025/08/18,
7,C,ミヤマカンスゲ,0,12,10,7,5,2025/08/18,
7,C,ヤマイヌワラビ,0,0.5,0,0,,2025/08/18,
7,C,ヤマソテツ,1,2,3,5,1.5,2025/08/18,
7,C,ユキザサ,0.5,2,1,0.5,,2025/08/18,
7,S,チシマザサ,8,30,25,23,20,2025/08/18,
7,,ハウチワカエデ,,,,,0.1,2025/08/18,
7,,サワダツ,,,,,0.1,2025/08/18,
7,,ツリバナ,,,,,0.1,2025/08/18,
8,B2,アオダモ,0,1,0.5,1,0.2,2025/08/18,
8,B2,イタヤカエデ,0,0,1,0,,2025/08/18,
8,B2,ウリハダカエデ,0,6,0,4,3,2025/08/18,
8,B2,ウワミズザクラ,3,0,0.5,0.5,1,2025/08/18,
8,B2,オオカメノキ,6,30,30,35,3,2025/08/18,
8,B2,オオバクロモジ,4,5,5,19,4,2025/08/18,
8,B2,コシアブラ,0,1,2,4,3,2025/08/18,
8,B2,サワフタギ,0,0,1,1.5,,2025/08/18,
8,B2,タムシバ,0,0,0,0.5,,2025/08/18,
8,B2,トチノキ,0,0,0.5,0,,2025/08/18,
8,B2,ハイイヌガヤ,1,0,0.5,0.5,0.5,2025/08/18,
8,B2,ハウチワカエデ,0,0,0.5,0.5,,2025/08/18,
8,B2,ヒメアオキ,1,0,0.5,0.5,,2025/08/18,
8,B2,ブナ,4,10,1,0.5,,2025/08/18,
8,B2,ホオノキ,0,0,0,1.5,,2025/08/18,
8,B2,マユミ,0.5,0,0,0,,2025/08/18,
8,B2,ミズキ,0.5,0,0,0,,2025/08/18,
8,B2,ヤマウルシ,0,1,2,4,0.5,2025/08/18,
8,C,イワカガミ,0.5,0,0,0,,2025/08/18,
8,C,コカンスゲ,4,0,0,0,,2025/08/18,
8,C,シラネワラビ,5,20,0.5,14,25,2025/08/18,
8,C,タケシマラン,0,1,0.5,0.5,,2025/08/18,
8,C,チゴユリ,0.5,0.5,0.5,5,0.1,2025/08/18,
8,C,ツクバネソウ,0,0.5,0.5,0,,2025/08/18,
8,C,ツルアリドオシ,0.5,0.5,0.5,0.5,0.2,2025/08/18,
8,C,ハイイヌツゲ,0,0.5,0,0.5,,2025/08/18,
8,C,ヒメモチ,0,0,0.5,0.5,0.3,2025/08/18,
8,C,ホウチャクソウ,1,0,0,0,,2025/08/18,
8,C,ホソバナライシダ,0,3,0.5,0.5,0.5,2025/08/18,
8,C,ミヤマカンスゲ,0,10,3,4.5,5,2025/08/18,
8,C,ヤマソテツ,1,2,1,0.5,0.5,2025/08/18,
8,C,ユキザサ,3,4,0.5,0.3,0.1,2025/08/18,
8,S,チシマザサ,7,35,15,11,15,2025/08/18,
8,,ナナカマド,,,,,0.1,2025/08/18,
9,B2,ウリハダカエデ,0,5,1,1,2,2025/08/18,
9,B2,ウワミズザクラ,4,2,2,2,0.5,2025/08/18,
9,B2,オオカメノキ,5,12,25,21,8.5,2025/08/18,
9,B2,オオバクロモジ,4,2,4,7,2,2025/08/18,
9,B2,コシアブラ,0,0.5,1,0,,2025/08/18,
9,B2,コマユミ,0,0,0,0.5,,2025/08/18,
9,B2,サワフタギ,0,3,3,7,2,2025/08/18,
9,B2,タムシバ,0,0.5,0.5,0.5,0.5,2025/08/18,
9,B2,ツノハシバミ,0.5,0,0,0,,2025/08/18,
9,B2,ハイイヌガヤ,0.5,0,0,0,,2025/08/18,
9,B2,ハウチワカエデ,0,4,5,5,3,2025/08/18,
9,B2,ブナ,6,25,5,5,3,2025/08/18,
9,B2,ホオノキ,0,0,0,1,,2025/08/18,
9,B2,マユミ,4,0,0,0,,2025/08/18,
9,B2,ミズキ,3,0,0,0,,2025/08/18,
9,B2,ヤマウルシ,0,0.5,0.5,0.5,,2025/08/18,
9,C,エンレイソウ,0,0.5,0,0,,2025/08/18,
9,C,コカンスゲ,4,0,0,0,,2025/08/18,
9,C,シラネワラビ,6,20,25,30,20,2025/08/18,
9,C,タチシオデ,0,0.5,0,0,,2025/08/18,
9,C,ツルアリドオシ,0.5,0,0,0,,2025/08/18,
9,C,ハイイヌツゲ,0.5,0,0,0,,2025/08/18,
9,C,ヒメモチ,0,0.5,0.5,0.5,,2025/08/18,
9,C,ヒロハユキザサ,0,0,0.5,0.5,,2025/08/18,
9,C,ミヤマカンスゲ,0,10,12,8,5,2025/08/18,
9,C,ヤマイヌワラビ,0,0,0.5,0.5,,2025/08/18,
9,C,ヤマソテツ,4,4,3,5,0.5,2025/08/18,
9,C,ユキザサ,3,4,1,1,0.1,2025/08/18,
9,S,チシマザサ,8,50,10,12,11,2025/08/18,
9,,イカリソウ,,,,,0.1,2025/08/18,00:13:31
,,イタヤカエデ,,,,,0.1,2025/08/18,
10,B2,アオダモ,0,0.5,0.5,0,,2025/08/18,
10,B2,イタヤカエデ,0.5,0,0,0,,2025/08/18,
10,B2,ウリハダカエデ,0,5,2,2,2,2025/08/18,
10,B2,ウワミズザクラ,4,6,5,5,2,2025/08/18,
10,B2,オオカメノキ,5,15,10,4,10,2025/08/18,
10,B2,オオバクロモジ,0,2,6,7,1,2025/08/18,
10,B2,コシアブラ,0,0,0,2,1,2025/08/18,
10,B2,サワフタギ,0,0.5,0,0.5,,2025/08/18,
10,B2,ツリバナ,0,0,0,0.5,,2025/08/18,
10,B2,トチノキ,0,0.5,0,0.5,,2025/08/18,
10,B2,ハウチワカエデ,0,3,3,0,,2025/08/18,
10,B2,ヒメアオキ,0,0,0,0.5,0.1,2025/08/18,
10,B2,ブナ,0,0,0,5,1.5,2025/08/18,
10,B2,ホオノキ,0,3,1,1,0.5,2025/08/18,
10,B2,マユミ,3,0,0,0,,2025/08/18,
10,B2,ミズキ,3,0,0.5,0.5,1.5,2025/08/18,
10,B2,ヤマウルシ,1,0.5,1,1,,2025/08/18,
10,C,エンレイソウ,0,0,0,0.5,0.1,2025/08/18,
10,C,ギンリョウソウ,0,0.5,0.5,0,,2025/08/18,
10,C,サンカヨウ,0,0,0,0.5,,2025/08/18,
10,C,シラネワラビ,5,18,20,15,19,2025/08/18,
10,C,タケシマラン,0,0.5,0,0,,2025/08/18,
10,C,タチシオデ,0,0,0,0.5,,2025/08/18,
10,C,タニギキョウ,0,0.5,0,0,,2025/08/18,
10,C,チゴユリ,3,3,1,1,,2025/08/18,
10,C,ツクバネソウ,0,0.5,0,0,,2025/08/18,
10,C,ツルアリドオシ,0.5,1,0,0,,2025/08/18,
10,C,ツルリンドウ,0,0,0.5,0.5,,2025/08/18,
10,C,ハイイヌツゲ,0.5,0,0,0,,2025/08/18,
10,C,ヒメカンアオイ,2,0,0.5,0,,2025/08/18,
10,C,ヒメモチ,0,2,2,2,,2025/08/18,
10,C,ホウチャクソウ,0.5,0,0,0,0.3,2025/08/18,
10,C,マイヅルソウ,0,0,0.5,0,,2025/08/18,
10,C,ミヤマウズラ,0,0,0.5,0,,2025/08/18,
10,C,ミヤマカンスゲ,0,5,15,8,10,2025/08/18,
10,C,ヤマイヌワラビ,0,0.5,0,0.5,,2025/08/18,
10,C,ヤマソテツ,4,5,4,13,4,2025/08/18,
10,C,ユキザサ,4,4,1,1,0.1,2025/08/18,
10,S,チシマザサ,8,50,10,13,15,2025/08/18,
10,,ミヤマイタチシダ,,,,,0.1,2025/08/18,
10,,ハイイヌガヤ,,,,,0.2,2025/08/18,
11,B2,アオダモ,0,1,1,1,0.2,2025/08/18,
11,B2,イタヤカエデ,0.5,1,0.5,0.5,0.5,2025/08/18,
11,B2,ウリハダカエデ,0,2,1,1,0.5,2025/08/18,
11,B2,ウワミズザクラ,3,0,0,0,,2025/08/18,
11,B2,オオイタヤメイゲツ,0,0,1,0,,2025/08/18,
11,B2,オオカメノキ,5,18,30,20,7,2025/08/18,
11,B2,オオバクロモジ,5,6,10,13,8,2025/08/18,
11,B2,クサアジサイ,0,1,0.5,0,,2025/08/18,
11,B2,コシアブラ,0,0.5,1,3,1,2025/08/18,
11,B2,コマユミ,4,0.5,0.5,0.2,0.5,2025/08/18,
11,B2,ツノハシバミ,0,0.5,0,0,,2025/08/18,
11,B2,ツリバナ,0,0.5,0.5,0,0.1,2025/08/18,
11,B2,トチノキ,0.5,0,0.5,0,0.5,2025/08/18,
11,B2,ノリウツギ,2,0,0,0,,2025/08/18,
11,B2,ハイイヌガヤ,1,6,1,2,3,2025/08/18,
11,B2,ハウチワカエデ,0,1,1,1,0.1,2025/08/18,
11,B2,ヒメアオキ,0,5,5,3,2,2025/08/18,
11,B2,ブナ,0,0,3,2,1,2025/08/18,
11,B2,マユミ,1,0,0,0,,2025/08/18,
11,B2,ミズキ,4,0.5,0.5,0,,2025/08/18,
11,B2,ヤマウルシ,0,0,0.5,3,0.1,2025/08/18,
11,C,オシダ,0,0,0,0.2,,2025/08/18,
11,C,コカンスゲ,5,0,1,0,,2025/08/18,
11,C,シノブカグマ,0,0,0.5,0,,2025/08/18,
11,C,シラネワラビ,5,15,30,30,9,2025/08/18,
11,C,タチシオデ,0,0,0.5,0.2,.,2025/08/18,
11,C,タニギキョウ,0,0.5,0.5,0,0.1,2025/08/18,
11,C,チゴユリ,0.5,2,1,0.2,,2025/08/18,
11,C,ツルアリドオシ,3,3,0.5,0.5,0.5,2025/08/18,
11,C,ハイイヌツゲ,0,1,0,0,,2025/08/18,
11,C,ヒメカンアオイ,0,0,1,1,,2025/08/18,
11,C,ヒメモチ,0,2,2,2,0.2,2025/08/18,
11,C,ホソバナライシダ,0,3,0.5,0,,2025/08/18,
11,C,ミヤマウズラ,0,0.5,0.5,0.2,,2025/08/18,
11,C,ミヤマカンスゲ,0,10,20,20,20,2025/08/18,
11,C,ヤマイヌワラビ,0,0.5,0,1,,2025/08/18,
11,C,ヤマソテツ,4,4,3,5,4,2025/08/18,
11,C,ユキザサ,0.5,3,0,0.5,,2025/08/18,
11,S,チシマザサ,8,60,40,40,20,2025/08/18,
11,,タケシマラン,,,,,0.1,2025/08/18,
11,,ホソバイヌワラビ,,,,,0.2,2025/08/18,
12,B2,アオダモ,0,0.5,0.5,3,1,2025/08/18,
12,B2,イタヤカエデ,0,0.5,0.5,0.5,0.1,2025/08/18,
12,B2,ウリハダカエデ,0,3,1,2,0.2,2025/08/18,
12,B2,ウワミズザクラ,0,0,1,1,0.1,2025/08/18,
12,B2,オオイタヤメイゲツ,0,0,5,0,,2025/08/18,
12,B2,オオカメノキ,4,8,35,20,9,2025/08/18,
12,B2,オオバクロモジ,5,6,5,8,5,2025/08/18,
12,B2,コシアブラ,0.5,0.5,2,4,2,2025/08/18,
12,B2,コマユミ,0,0,0.5,0.2,,2025/08/18,
12,B2,ツリバナ,0,0,0.5,1,,2025/08/18,
12,B2,トチノキ,0,0.5,0.5,0.5,0.2,2025/08/18,
12,B2,ナナカマド,0,0.5,0.5,0.5,,2025/08/18,
12,B2,ノリウツギ,1,0,0,0,,2025/08/18,
12,B2,ハイイヌガヤ,0.5,0,0,1,0.2,2025/08/18,
12,B2,ハウチワカエデ,0,4,5,2,2,2025/08/18,
12,B2,ヒメアオキ,3,5,1,4,2,2025/08/18,
12,B2,ブナ,5,12,5,4,1,2025/08/18,
12,B2,マユミ,4,0,0,0,,2025/08/18,
12,B2,ミズキ,2,0,0,0,0.1,2025/08/18,
12,B2,ヤマウルシ,0,2,7,8,1,2025/08/18,
12,B2,ヤマモミジ,0,2,1,3,0.2,2025/08/18,
12,C,コカンスゲ,5,0,0,0,,2025/08/18,
12,C,シノブカグマ,0,0.5,1,1.5,0.5,2025/08/18,
12,C,シラネワラビ,6,15,40,15,8,2025/08/18,
