"サブプロット","階層","種名","DK1999","被度2006","被度2012","被度2018","X","memo","X.1","DK2006","id_note"
"5","C","イワナシ",0,0.5,0,0.1,"","","","0.5","112"
"5","C","エンレイソウ",0,0.5,0,0,"","","","0.5","113"
"5","C","キソチドリ",0.5,0,0,0,"","","","0","127"
"5","C","コイワカガミ",0,0.5,0.5,0.3,"","","","0.5","114"
"5","C","ゴゼンタチバナ",0,3,0.5,0.2,"","","","3","115"
"5","C","ゴゼンタチバナ",2,0,0.5,0,"","","","0","128"
"5","C","シノブカグマ",0,0.5,0,0.1,"","","","0.5","116"
"5","C","ショウジョウバカマ",2,2,0.5,0.2,"","","","2","117"
"5","C","シラネワラビ",1,1,0.5,0,"","photo","","1","118"
"5","C","チゴユリ",2,0,0.5,0,"","","","0","129"
"5","C","ツクバネソウ",0,0,0.5,0,"","","","","131"
"5","C","ツルリンドウ",2,2,0.5,0.1,"","","","2","119"
"5","C","ヒメタケシマラン",0,0.5,0.5,0.1,"","12:46","","0.5","120"
"5","C","ヒロハユキザサ",0,0.5,0.5,0.2,"","","","0.5","121"
"5","C","マイヅルソウ",3,3,0.5,0.1,"","","","3","122"
"5","C","ミズバショウ",1,5,10,5,"","","","4","123"
"5","C","ミツバオウレン",0,0,0.5,0.1,"","","","","132"
"5","C","ミヤマカンスゲ",6,18,30,30,"","","","5","124"
"5","C","ミヤマワラビ",0,0,0,0.1,"","","","","136"
"5","C","ヤマソテツ",0,5,1,4,"","","","4","125"
"5","C","ヤマソテツ",4,0,0.5,0,"","","","0","130"
"5","C","ヤマドリゼンマイ",3,0.5,0.5,0.3,"","","","0.5","126"
"5","S","チシマザサ",9,100,80,85,"","","","10","134"
"6","B2","オオシラビソ",4,5,3,5,"","","","4","137"
"6","B2","オオバスノキ",3,6,12,9,"","","","4","138"
"6","B2","クロウスゴ",2,2,2,1,"","","","2","139"
"6","B2","コメツガ",0,0,0,1,"","","","","164"
"6","B2","ナナカマド",0,5,4,4,"","","","4","140"
"6","B2","ヒメウスノキ",0,0.5,5,0.5,"","","","0.5","141"
"6","B2","ミネカエデ",5,5,6,4,"","","","4","142"
"6","B2","ミヤマハンノキ",0,0.5,1,1,"","","","0.5","143"
"6","C","イワナシ",0.5,0.5,0.1,0.1,"","","","0.5","144"
"6","C","エンレイソウ",0,0.5,0,0,"","","","0.5","145"
"6","C","コイワカガミ",2,1,0.5,0.2,"","","","1","146"
"6","C","ゴゼンタチバナ",0,2,0.5,0.5,"","","","2","147"
"6","C","ゴゼンタチバナ",2,0,0,0,"","","","0","159"
"6","C","サンカヨウ",0,0.5,0,0,"","","","0.5","148"
"6","C","シノブカグマ",0,0.5,0.5,0.2,"","","","0.5","149"
"6","C","ショウジョウバカマ",4,2,0.5,0.2,"","","","2","150"
"6","C","シラネワラビ",0,0.5,0.5,0.1,"","","","0.5","151"
"6","C","チゴユリ",1,0,0,0.1,"","","","0","160"
"6","C","ツマトリソウ",0,0,0,0.1,"","","","","165"
"6","C","ツルリンドウ",0,0.5,0,0.1,"","","","0.5","152"
"6","C","ヒメタケシマラン",0,1,0.5,0.1,"","","","1","153"
"6","C","ヒロハユキザサ",0,0,0.1,0,"","","","","162"
"6","C","マイヅルソウ",1,0,0.1,0,"","","","0","154"
"6","C","ミズバショウ",6,30,18,15,"","","","6","155"
"6","C","ミツバオウレン",1,0.5,0.1,0.1,"","","","0.5","156"
"6","C","ミヤマカンスゲ",6,20,15,10,"","","","6","157"
"6","C","ヤマソテツ",0,5,2,2,"","","","4","158"
"6","C","ヤマソテツ",4,0,0,0,"","","","0","161"
"6","S","チシマザサ",9,100,95,95,"","","","10","163"
"7","B2","オオカメノキ",0,0,0,1,"","","","","196"
"7","B2","オオシラビソ",6,20,2,3,"","","","6","166"
"7","B2","オオバスノキ",0.5,1,0.6,1.5,"","","","1","167"
"7","B2","オガラバナ",4,4,5,0,"","","","3","168"
"7","B2","クロウスゴ",0.5,1,1,1,"","","","1","169"
"7","B2","クロツリバナ",0,0,0.1,0,"","15:07","","","193"
"7","B2","ナナカマド",2,5,1,3,"","","","4","170"
"7","B2","ハリブキ",0,0,0,0.1,"","","","","198"
"7","B2","ミネカエデ",0,4,3,2,"","","","3","171"
"7","B2","ミヤマハンノキ",4,5,0,0,"","","","4","172"
"7","C","エンレイソウ",0.5,0.5,0.5,0,"","","","0.5","173"
"7","C","オオバショリマ",0,0,0.5,1,"","15:20","","","187"
"7","C","オオバショリマ",0,0,0.1,0,"","","","","192"
"7","C","オオバタケシマラン",0.5,0.5,0.5,0.1,"","","","0.5","174"
"7","C","コイワカガミ",1,2,0.2,0.3,"","","","2","175"
"7","C","ゴゼンタチバナ",0,1,1,0.5,"","","","1","176"
"7","C","ゴゼンタチバナ",1,0,0.5,0,"","","","0","183"
"7","C","シノブカグマ",0,0,0,0.1,"","","","","197"
"7","C","ショウジョウバカマ",2,2,0.1,0.5,"","","","2","177"
"7","C","チゴユリ",1,0,0,0,"","","","0","184"
"7","C","ツルリンドウ",0,0,0.5,0.1,"","","","","191"
"7","C","ヒメゴヨウイチゴ",0,0,0.5,0,"","14:41","","","190"
"7","C","ヒメタケシマラン",0,1,0.5,0.1,"","","","1","178"
"7","C","マイヅルソウ",0.5,0.5,1,0.1,"","","","0.5","179"
"7","C","ミズバショウ",0,0.5,0.5,0.5,"","","","0.5","180"
"7","C","ミツバオウレン",0,0,0.5,0.1,"","","","","189"
"7","C","ミヤマアキノキリンソウ",0,0,0.5,0,"","","","","188"
"7","C","ミヤマカタバミ",0,0,0.5,0,"","15:19","","","186"
"7","C","ミヤマカンスゲ",5,0,5,4,"","","","0","181"
"7","C","ミヤマシシガシラ",0,0,0,0.1,"","","","","195"
"7","C","ヤマソテツ",0,4,2,2,"","","","3","182"
"7","C","ヤマソテツ",3,0,2,0,"","","","0","185"
"7","S","チシマザサ",10,100,95,95,"","","","10","194"
"8","B2","オオカメノキ",3,4,2,2,"","","","3","199"
"8","B2","オオシラビソ",3,2,0.5,0.5,"","","","2","200"
"8","B2","オオバスノキ",3,6,1,5,"","","","4","201"
"8","B2","クロウスゴ",1,0,0.5,0.5,"","","","0","202"
"8","B2","クロツリバナ",2,1,0,0,"","","","1","203"
"8","B2","ダケカンバ",0,1,0,0,"","","","1","204"
"8","B2","ナナカマド",0,0.5,0.5,1,"","","","0.5","205"
"8","B2","ハリブキ",0.5,0.5,0,0.1,"","","","0.5","206"
"8","B2","ヒメウスノキ",0,0.5,0.5,0.2,"","","","0.5","207"
"8","B2","ミネカエデ",5,20,0,1,"","","","6","208"
"8","C","イワナシ",0.5,0.5,0.5,0.2,"","","","0.5","209"
"8","C","エンレイソウ",0.5,0.5,0.5,0,"","","","0.5","210"
"8","C","オオバショリマ",0,0,0,0,"","","","0.5","227"
"8","C","コイワカガミ",1,1,0.5,0.3,"","","","1","211"
"8","C","ゴゼンタチバナ",0,3,2,1.5,"","","","3","212"
"8","C","ゴゼンタチバナ",3,0,1,0,"","","","0","223"
"8","C","シノブカグマ",0,0.5,0,0,"","","","0.5","213"
"8","C","ショウジョウバカマ",0,1,0.5,0.1,"","","","1","214"
"8","C","シラネワラビ",0,0,0,0,"","","","0.5","228"
"8","C","タケシマラン",0,2,0.5,0.1,"","","","2","215"
"8","C","チゴユリ",2,0,0.5,0.1,"","","","0","224"
"8","C","ツマトリソウ",0.5,0.5,0.5,0.1,"","","","0.5","216"
"8","C","ツルリンドウ",0.5,0.5,0.5,0.2,"","","","0.5","217"
"8","C","ヒロハユキザサ",0,0.5,0.5,0.5,"","","","0.5","218"
"8","C","マイヅルソウ",1,0.5,0,0.1,"","","","0.5","219"
"8","C","ミズバショウ",4,4,6,4,"","","","3","220"
"8","C","ミヤマカンスゲ",5,18,18,20,"","","","5","221"
"8","C","ヤマソテツ",0,3,4,5,"","","","3","222"
"8","C","ヤマソテツ",3,0,1,0,"","","","0","225"
"8","C","ユキザサ",0.5,0,0.1,0,"","","","0","226"
"8","S","チシマザサ",9,95,95,95,"","","","9","229"
"9","B2","オオカメノキ",3,1,1,1,"","","","1","230"
"9","B2","オオシラビソ",3,3,1,2,"","","","3","231"
"9","B2","オオバスノキ",3,3,1,2,"","","","3","232"
"9","B2","クロウスゴ",1,0,0,0.1,"","","","0","233"
"9","B2","ナナカマド",0,0,0,0.1,"","","","","258"
"9","B2","ハリブキ",0.5,0,0,0,"","","","0","234"
"9","B2","ヒメウスノキ",0,0,0.5,0,"","","","0.5","236"
"9","B2","ミネカエデ",4,5,1,1,"","","","4","235"
"9","C","イワナシ",0,0,0.5,0.1,"","","","","256"
"9","C","エンレイソウ",0,0.5,0.5,0,"","","","0.5","237"
"9","C","オオバショリマ",0,0,0.1,0.3,"","","","","253"
"9","C","コイワカガミ",0.5,2,1,0.3,"","","","2","238"
"9","C","ゴゼンタチバナ",0,3,0.5,0.5,"","","","3","239"
"9","C","ゴゼンタチバナ",4,0,0.5,0,"","","","0","249"
"9","C","ショウジョウバカマ",0.5,1,0.5,0.2,"","","","1","240"
"9","C","シラネワラビ",0,0,0.5,0.3,"","","","","255"
"9","C","チゴユリ",1,0,0.5,0.1,"","","","0","250"
"9","C","ツクバネソウ",0,0,0.1,0.1,"","","","","252"
"9","C","ツルリンドウ",2,1,0.5,0.1,"","","","1","241"
"9","C","ツルリンドウ",0,0,0.1,0.1,"","","","","254"
"9","C","ヒメタケシマラン",0,0.5,0.5,0.2,"","","","0.5","242"
"9","C","ホソバトウゲシバ",0,0.5,0,0,"","","","0.5","243"
"9","C","マイヅルソウ",2,2,0.5,0.1,"","","","2","244"
"9","C","ミズバショウ",4,5,4,3,"","","","4","245"
"9","C","ミツバオウレン",0.5,0.5,0.5,0.1,"","","","0.5","246"
"9","C","ミヤマカンスゲ",6,15,18,20,"","","","5","247"
"9","C","ヤマソテツ",0,3,2,0,"","","","3","248"
"9","C","ヤマソテツ",3,0,1,0,"","","","0","251"
"9","S","チシマザサ",9,95,90,90,"","","","9","257"
"10","B2","オオカメノキ",0.5,0,1,0.5,"","","","0","259"
"10","B2","オオシラビソ",0,0,0,0.2,"","","","","283"
"10","B2","オオバスノキ",3,2,0.5,1,"","","","2","260"
"10","B2","ダケカンバ",0,0,0,2,"","","","","282"
"10","B2","ミネカエデ",5,18,0.5,4,"","","","5","261"
"10","C","イワナシ",1,0,0,0,"","","","0","262"
"10","C","エンレイソウ",0.5,0.5,0.5,0,"","","","0.5","263"
"10","C","オオバショリマ",0,0,0,0.2,"","","","","284"
"10","C","コイワカガミ",0.5,2,0.5,0.1,"","","","2","264"
"10","C","ゴゼンタチバナ",0,5,0.5,0.5,"","","","4","265"
"10","C","ゴゼンタチバナ",4,0,0.5,0,"","","","0","277"
"10","C","ショウジョウバカマ",1,1,0.5,0.2,"","","","1","266"
"10","C","シラネワラビ",2,0,0.5,0.1,"","13:11","","0","267"
"10","C","タケシマラン",0,1,0.5,0.2,"","","","1","268"
"10","C","チゴユリ",1,0,0.5,0.1,"","","","0","278"
"10","C","ツクバネソウ",0.5,0,0.5,0.1,"","","","0","269"
"10","C","ツルリンドウ",2,2,0.5,0.1,"","","","2","270"
"10","C","ヒメゴヨウイチゴ",2,0,0.5,0.1,"","13:05","","0","271"
"10","C","ヒロハユキザサ",0,0.5,0.5,0.3,"","","","0.5","272"
"10","C","マイヅルソウ",3,3,0.5,0.1,"","","","3","273"
"10","C","ミズバショウ",0.5,2,1,1,"","","","2","274"
"10","C","ミヤマカンスゲ",6,25,30,25,"","","","6","275"
"10","C","ヤマソテツ",0,12,6,5,"","","","5","276"
"10","C","ヤマソテツ",5,0,1,0,"","","","0","279"
"10","C","ユキザサ",0.5,0,0,0,"","","","0","280"
"10","S","チシマザサ",9,95,90,85,"","","","9","281"
"11","B2","オオシラビソ",5,0,4,2.1,"","","","0","285"
"11","B2","オオバスノキ",3,3,5,2,"","","","3","286"
"11","B2","オガラバナ",0,0,0,0.5,"","","","","321"
"11","B2","クロウスゴ",1,1,2,0.1,"","","","1","287"
"11","B2","クロツリバナ",3,4,55,2,"","","","3","288"
"11","B2","ナナカマド",0,0,0,0.1,"","","","","322"
"11","B2","ヒメウスノキ",0,0.5,2,1.1,"","","","0.5","289"
"11","B2","ミネカエデ",3,0,0.5,0.5,"","","","0","290"
"11","C","イワナシ",1,0.5,0,0.4,"","","","0.5","291"
"11","C","エンレイソウ",0,0.5,0,0,"","","","0.5","292"
"11","C","オオバショリマ",0,0,0.5,0.3,"","","","","313"
"11","C","オオバショリマ",0,0,0,0.1,"","","","","319"
"11","C","オオバタケシマラン",0,0.5,0,0.3,"","","","0.5","293"
"11","C","オオバノヨツバムグラ",0,0,0,0.1,"","","","","320"
"11","C","コイワカガミ",2,2,0.5,0.5,"","","","2","294"
"11","C","ゴゼンタチバナ",0,4,4,1,"","","","3","295"
"11","C","コバイケイソウ",0,1,0,0,"","","","1","296"
"11","C","コミヤマカタバミ",0,0,0,0.3,"","","","","317"
"11","C","サンカヨウ",0,0,0,0.1,"","","","","316"
"11","C","シノブカグマ",0,0.5,0.5,0,"","","","0.5","297"
"11","C","ショウジョウバカマ",2,2,0.5,0.1,"","","","2","298"
"11","C","シラネワラビ",1,0,1,0.1,"","","","0","299"
"11","C","タケシマラン",0,1,0.5,0.1,"","","","1","300"
"11","C","チゴユリ",1,0,0,0.2,"","","","0","311"
"11","C","ツクバネソウ",0.5,0.5,0,0,"","","","0.5","301"
"11","C","ツマトリソウ",0,0.5,0.1,0,"","","","0.5","302"
"11","C","ツルリンドウ",0.5,0.5,0,0.1,"","","","0.5","303"
"11","C","ヒメゴヨウイチゴ",0,0,0.1,0.1,"","","","","314"
"11","C","フキ",0,0,0.1,0,"","","","","312"
"11","C","マイヅルソウ",1,1,0.1,0.1,"","","","1","304"
"11","C","ミズバショウ",2,5,1,3,"","","","4","305"
"11","C","ミツバオウレン",2,1,0.1,0.1,"","","","1","306"
"11","C","ミヤマアキノキリンソウ",0,0,0,0.1,"","","","","318"
"11","C","ミヤマカンスゲ",5,10,10,5,"","","","5","307"
"11","C","モミジカラマツ",0,0.5,0.1,0.1,"","","","0.5","308"
"11","C","ヤマソテツ",0,3,4,0.5,"","","","3","309"
"11","C","ヤマドリゼンマイ",0,1,0.5,0.2,"","","","1","310"
"11","S","チシマザサ",9,95,95,60,"","","","9","315"
"12","B2","オオカメノキ",0,0,0,1,"","","","","358"
"12","B2","オオシラビソ",3,5,1,1.5,"","","","4","323"
"12","B2","オオバスノキ",0,3,2,1,"","","","3","324"
"12","B2","オガラバナ",5,20,10,0.8,"","","","6","325"
"12","B2","クロウスゴ",0,1,1,0.5,"","","","1","326"
"12","B2","クロツリバナ",0,3,0.5,2,"","","","3","327"
"12","B2","ダケカンバ",0,0.5,0.5,0.5,"","","","0.5","328"
"12","B2","ダケカンバ",0,0,0,1.1,"","","","","352"
"12","B2","ナナカマド",5,8,2,1.8,"","","","4","329"
"12","B2","ハリブキ",0.5,0.5,0.5,0.1,"","","","0.5","330"
"12","B2","ミネカエデ",4,5,1,0.3,"","","","4","331"
"12","B2","ムラサキヤシオツツジ",0,0,0,0.1,"","","","","354"
"12","C","イワナシ",0,0,0,0.1,"","","","","353"
"12","C","エンレイソウ",0,0.5,0.1,0.6,"","","","0.5","332"
"12","C","オオバショリマ",0,0.5,1,0.2,"","","","0.5","333"
"12","C","キヌガサソウ",0,0,0,0.1,"","","","","357"
"12","C","コイワカガミ",0,0.5,0.1,0,"","","","0.5","334"
"12","C","ゴゼンタチバナ",0,0.5,0.1,0.1,"","","","0.5","335"
"12","C","コミヤマカタバミ",3,0.5,1,2,"","","","0.5","336"
"12","C","サンカヨウ",0,0,0.1,0,"","","","","349"
"12","C","シノブカグマ",0,0.5,0.5,0.5,"","","","0.5","337"
"12","C","ショウジョウバカマ",1,1,0.5,1,"","","","1","338"
"12","C","シラネワラビ",2,1,2,3,"","","","1","339"
"12","C","タケシマラン",0,2,1,0.2,"","","","2","340"
"12","C","チゴユリ",2,0,0,0,"","","","0","346"
"12","C","ツクバネソウ",0,0,0,0.2,"","","","","356"
"12","C","ツマトリソウ",0,0,0,0.2,"","","","","355"
"12","C","ヒメゴヨウイチゴ",0,0.5,1,0.2,"","","","0.5","341"
"12","C","ヒロハユキザサ",0,0,0.1,0,"","","","","348"
"12","C","マイヅルソウ",0.5,0.5,0.5,0.1,"","","","0.5","342"
"12","C","ミヤマカンスゲ",5,8,10,8,"","","","4","343"
"12","C","ミヤマワラビ",0,0.5,0,0,"","","","0.5","344"
"12","C","ヤマソテツ",0,2,0,0,"","","","2","345"
"12","C","ヤマソテツ",3,0,0.5,1,"","","","0","347"
"12","C","ヤマドリゼンマイ",0,0,0,0.5,"","","","","351"
"12","S","チシマザサ",9,95,90,90,"","","","9","350"
"13","B2","ウラジロナナカマド",0,2,2,3,"","","","2","359"
"13","B2","オオカメノキ",3,3,3,0,"","","","3","360"
"13","B2","オオシラビソ",4,4,2,0.7,"","","","3","361"
"13","B2","オオバスノキ",1,2,4,1.1,"","","","2","362"
"13","B2","オガラバナ",4,8,5,5,"","","","4","363"
"13","B2","クロウスゴ",3,2,2,3,"","","","2","364"
"13","B2","クロツリバナ",3,5,3,4,"","","","4","365"
"13","B2","タカネナナカマド",2,0,0,0,"","","","0","371"
"13","B2","ダケカンバ",4,5,2,3,"","","","4","366"
"13","B2","ナナカマド",0,3,8,0,"","","","3","367"
"13","B2","ハリブキ",0,0.5,0,0.5,"","","","0.5","368"
"13","B2","ヒメウスノキ",0,0,0.1,0.1,"","","","","373"
"13","B2","ミネカエデ",0,0,2,0,"","","","","372"
"13","B2","ミヤマハンノキ",0,2,0,0,"","","","2","369"
"13","B2","ムラサキヤシオツツジ",0,0.5,0,0,"","","","0.5","370"
"13","C","イヌワラビ",0,0.5,0,0,"","","","0.5","374"
"13","C","イワナシ",1,1,1,0,"","","","1","375"
"13","C","エンレイソウ",0,0.5,0.1,0,"","","","0.5","377"
"13","C","オオバショリマ",0,1,0.5,0.5,"","","","1","378"
"13","C","オオバタケシマラン",0,0,0,1,"","","","","399"
"13","C","オオバノヨツバムグラ",0,0.5,0,0,"","","","0.5","376"
"13","C","キヌガサソウ",2,2,0.5,1,"","","","2","379"
"13","C","ゴゼンタチバナ",0,2,1,0.7,"","","","2","380"
"13","C","コミヤマカタバミ",3,3,3,1.1,"","","","3","381"
"13","C","シノブカグマ",2,1,0.5,0,"","","","1","382"
"13","C","ショウジョウバカマ",2,2,0.5,0.4,"","","","2","383"
"13","C","シラネワラビ",4,6,5,5,"","","","4","384"
"13","C","チゴユリ",1,0,0,0,"","","","0","393"
"13","C","ツクバネソウ",0.5,0.5,0.1,0,"","","","0.5","385"
"13","C","ツマトリソウ",0.5,0.5,0.1,0.2,"","","","0.5","386"
"13","C","ツルリンドウ",0.5,0,0,0,"","","","0","387"
"13","C","ヒメゴヨウイチゴ",5,5,2,2,"","","","4","388"
"13","C","ヒメタケシマラン",0,0.5,0.1,0.2,"","","","0.5","389"
"13","C","ヒメワラビ",0,0,1,0,"","","","","396"
"13","C","マイヅルソウ",0,0,0,0.1,"","","","","398"
"13","C","ミズバショウ",4,4,5,6,"","","","3","390"
"13","C","ミツバオウレン",0,0.5,0.1,0,"","","","0.5","391"
"13","C","ミヤマアキノキリンソウ",0.5,0,0.1,0,"","","","0","394"
"13","C","ミヤマカンスゲ",6,15,15,9,"","","","5","392"
"13","C","ヤマソテツ",0,0,1,2.2,"","","","","395"
"13","S","チシマザサ",9,95,80,85,"","","","9","397"
"14","B2","オオカメノキ",3,2,2,2.1,"","","","2","400"
"14","B2","オオシラビソ",4,5,3,2,"","","","4","401"
"14","B2","オオバスノキ",5,10,10,3.3,"","","","5","402"
"14","B2","クロウスゴ",1,0,0.5,0,"","","","0","403"
"14","B2","ナナカマド",4,5,4,5,"","","","4","404"
"14","B2","ハリブキ",0,0.5,0,0.2,"","","","0.5","405"
