"sp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","Mean","Frequency","FreqCode","DominatIndex"
"ゼンマイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"コメツガ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"ミヤマハンノキ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0.32,0.307692307692308,"Ⅱ",9.92277876713668
"クロツリバナ",0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,1,2.2,3,0,0.5,0,0,0,2,0,0.668,0.346153846153846,"Ⅱ",15.2062740088021
"ハリブキ",0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.5,0.2,0,0.5,1,0.5,0.5,0.1,0,0,0,0,0,0.144,0.423076923076923,"Ⅲ",7.80532362705589
"オオバタケシマラン",0,0,0,0,0,0,0.1,0,0,0,0.3,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0.064,0.192307692307692,"Ⅰ",3.50823207722812
"ミヤマカタバミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"ミヤマシシガシラ",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.0769230769230769,"Ⅰ",0.554700196225229
"ヤマイヌワラビ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"タニギキョウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"ホソバトウゲシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"オオバノヨツバムグラ",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0.2,0.2,0,0,0,0,0,0,0,0.032,0.192307692307692,"Ⅰ",2.48069469178417
"コミヤマカタバミ",0,0,0,0,0,0,0,0,0,0,0.3,2,1.1,0.2,0,7.3,3.1,1,2,1,0,3,3,5,5,1.36,0.538461538461538,"Ⅲ",27.0611842369785
"フキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,3,7,2,8,1.2,0.269230769230769,"Ⅱ",17.9743406854583
"モミジカラマツ",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.85,0,0,0,0,10,0.438,0.153846153846154,"Ⅰ",8.20881327504868
"キヌガサソウ",0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0.048,0.153846153846154,"Ⅰ",2.71746488194703
"ウラジロナナカマド",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.0769230769230769,"Ⅰ",3.038218101251
"タカネナナカマド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"イヌワラビ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.2,0.1,0,0,0,0,0,0,0,0.064,0.153846153846154,"Ⅰ",3.13785816221094
"ヒメワラビ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ベニバナイチゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,8,0,0,0.46,0.153846153846154,"Ⅰ",8.41244499353373
"ミヤマメシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,3,2,0,0.5,0.32,0.230769230769231,"Ⅱ",8.59337848847319
"ヤマトユキザサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"カニコウモリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.5,0,0.032,0.115384615384615,"Ⅰ",1.92153784566105
"ゴマナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,5,5,5,6,0,0.864,0.230769230769231,"Ⅱ",14.1203617299493
"サカゲイノデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.1,0,1,0.104,0.192307692307692,"Ⅰ",4.47213595499958
"シラネセンキュウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.008,0.0769230769230769,"Ⅰ",0.784464540552736
"タテヤマアザミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4.5,0.46,0.153846153846154,"Ⅰ",8.41244499353373
"ミヤマシシウド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.1,0,0,8,3,6,8,5,1.22,0.346153846153846,"Ⅱ",20.5501263331322
"ミヤマベニシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0.5,0,0,0,0.036,0.153846153846154,"Ⅰ",2.35339362165821
"メシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ヤグルマソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0.5,0,0.12,0.153846153846154,"Ⅰ",4.2966892442366
"オノエヤナギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,6,5,0.8,0.192307692307692,"Ⅰ",12.4034734589208
"アクシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ウラジロヨウラク",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ハクモウイノデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"クマイチゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"ミヤマイタチシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.5,0,0.064,0.153846153846154,"Ⅰ",3.13785816221094
"コメススキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.008,0.115384615384615,"Ⅰ",0.960768922830523
"タニウツギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"バッコヤナギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0.5,0.46,0.153846153846154,"Ⅰ",8.41244499353373
"アカショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0.24,0.230769230769231,"Ⅱ",7.44208407535251
"イグサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.004,0.0769230769230769,"Ⅰ",0.554700196225229
"イタドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,12,0.92,0.192307692307692,"Ⅰ",13.3012434352235
"イヌガンソク",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"イブキコゴメグサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"オオイタドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,25,20,20,3.72,0.230769230769231,"Ⅱ",29.2995143041918
"オオハナウド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"オシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"キオン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"クロトウヒレン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"シラネニンジン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,1,0.064,0.153846153846154,"Ⅰ",3.13785816221094
"ノコンギク",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ヒゲノガリヤス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"マルバダケブキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0.06,0.115384615384615,"Ⅰ",2.63117405792109
"ヤマハハコ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"ヨモギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,5,0.56,0.230769230769231,"Ⅱ",11.3679712011761
"イワオウギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"オオバコ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"オニシモツケ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0.24,0.115384615384615,"Ⅰ",5.26234811584217
"コウゾリナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"シモツケソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ウラジロタデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"スギナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.008,0.115384615384615,"Ⅰ",0.960768922830523
"アイイタドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.004,0.0769230769230769,"Ⅰ",0.554700196225229
"アキカラマツ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"セイヨウタンポポ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"テガタチドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.004,0.0769230769230769,"Ⅰ",0.554700196225229
"ヨツバヒヨドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
