サブプロット,階層,種名,DK1999,被度2006,被度2012,被度2018,被度2025,date2025,photo2025,memo,DK2006,id_note,X,X.1
5,C,マイヅルソウ,3,3,0.5,0.1,0.2,2025/08/22,,,0.5,121,,
5,C,ミズバショウ,1,5,10,5,5,2025/08/22,,,3,122,,
5,C,ミツバオウレン,0,0,0.5,0.1,0.1,2025/08/22,,,4,123,,
5,C,ミヤマカンスゲ,6,18,30,30,30,2025/08/22,,,,132,,
5,C,ミヤマワラビ,0,0,0,0.1,,2025/08/22,,,5,124,,
5,C,ヤマソテツ,4,5,1.5,4,3.5,2025/08/22,,,,136,,
5,C,ヤマドリゼンマイ,3,0.5,0.5,0.3,,2025/08/22,,,4,125,,
5,S,チシマザサ,9,100,80,85,70,2025/08/22,,,0.5,126,,
,,オオバショリマ,,,,,0.2,2025/08/22,,,,,,
,,タケシマラン,,,,,0.4,2025/08/22,,,,,,
,,ゼンマイ,,,,,0.1,2025/08/22,00:11:31,,,,,
,,オオバショリマ,,,,,0.1,2025/08/22,,,,,,
6,B2,オオシラビソ,4,5,3,5,6.5,2025/08/21,,,10,134,,
6,B2,オオバスノキ,3,6,12,9,2.1,2025/08/21,,,4,137,,
6,B2,クロウスゴ,2,2,2,1,0.3,2025/08/21,,,4,138,,
6,B2,コメツガ,0,0,0,1,,2025/08/21,,,2,139,,
6,B2,ナナカマド,0,5,4,4,1.1,2025/08/21,,,,164,,
6,B2,ヒメウスノキ,0,0.5,5,0.5,0.2,2025/08/21,,,4,140,,
6,B2,ミネカエデ,5,5,6,4,2.5,2025/08/21,,,0.5,141,,
6,B2,ミヤマハンノキ,0,0.5,1,1,.,2025/08/21,,,4,142,,
6,C,イワカガミ,2,1,0.5,0.2,0.2,2025/08/21,,,0.5,143,,
6,C,イワナシ,0.5,0.5,0.1,0.1,0.3,2025/08/21,,,0.5,144,,
6,C,エンレイソウ,0,0.5,0,0,0.1,2025/08/21,,,0.5,145,,
6,C,ゴゼンタチバナ,2,2,0.5,0.5,0.7,2025/08/21,,,1,146,,
6,C,サンカヨウ,0,0.5,0,0,,2025/08/21,,,2,147,,
6,C,シノブカグマ,0,0.5,0.5,0.2,0.1,2025/08/21,,,0.5,148,,
6,C,ショウジョウバカマ,4,2,0.5,0.2,1.2,2025/08/21,,,0.5,149,,
6,C,シラネワラビ,0,0.5,0.5,0.1,,2025/08/21,,,2,150,,
6,C,チゴユリ,1,0,0,0.1,0.1,2025/08/21,,,0.5,151,,
6,C,ツマトリソウ,0,0,0,0.1,0.1,2025/08/21,,,0,160,,
6,C,ツルリンドウ,0,0.5,0,0.1,,2025/08/21,,,,165,,
6,C,ヒメタケシマラン,0,1,0.5,0.1,,2025/08/21,,,0.5,152,,
6,C,ヒロハユキザサ,0,0,0.1,0,,2025/08/21,,,1,153,,
6,C,マイヅルソウ,1,0,0.1,0,,2025/08/21,,,,162,,
6,C,ミズバショウ,6,30,18,15,9.5,2025/08/21,,,0,154,,
6,C,ミツバオウレン,1,0.5,0.1,0.1,0.2,2025/08/21,,,6,155,,
6,C,ミヤマカンスゲ,6,20,15,10,6,2025/08/21,,,0.5,156,,
6,C,ヤマソテツ,4,5,2,2,1.2,2025/08/21,,,6,157,,
6,S,チシマザサ,9,100,95,95,60,2025/08/21,,,4,158,,
,,タケシマラン,,,,,0.2,2025/08/21,,,,,,
,,ダケカンバ,,,,,0.5,2025/08/21,,,,,,
7,B2,オオカメノキ,0,0,0,1,1,2025/08/21,,,10,163,,
7,B2,オオシラビソ,6,20,2,3,0.5,2025/08/21,,,,196,,
7,B2,オオバスノキ,0.5,1,0.6,1.5,0.3,2025/08/21,,,6,166,,
7,B2,オガラバナ,4,4,5,0,,2025/08/21,,,1,167,,
7,B2,クロウスゴ,0.5,1,1,1,0.1,2025/08/21,,,3,168,,
7,B2,クロツリバナ,0,0,0.1,0,,2025/08/21,,,1,169,,
7,B2,ナナカマド,2,5,1,3,1.6,2025/08/21,,15:07:00,,193,,
7,B2,ハリブキ,0,0,0,0.1,0.1,2025/08/21,,,4,170,,
7,B2,ミネカエデ,0,4,3,2,2,2025/08/21,,,,198,,
7,B2,ミヤマハンノキ,4,5,0,0,,2025/08/21,,,3,171,,
7,C,イワカガミ,1,2,0.2,0.3,0.3,2025/08/21,,,4,172,,
7,C,エンレイソウ,0.5,0.5,0.5,0,0.2,2025/08/21,,,0.5,173,,
7,C,オオバショリマ,0,0,0.6,1,0.1,2025/08/21,,15:20:00,,187,,
7,C,オオバタケシマラン,0.5,0.5,0.5,0.1,0.1,2025/08/21,,,0.5,174,,
7,C,ゴゼンタチバナ,1,1,1.5,0.5,0.6,2025/08/21,,,2,175,,
7,C,シノブカグマ,0,0,0,0.1,0.2,2025/08/21,,,1,176,,
7,C,ショウジョウバカマ,2,2,0.1,0.5,2.4,2025/08/21,,,,197,,
7,C,チゴユリ,1,0,0,0,,2025/08/21,,,2,177,,
7,C,ツルリンドウ,0,0,0.5,0.1,0.1,2025/08/21,,,0,184,,
7,C,ヒメゴヨウイチゴ,0,0,0.5,0,,2025/08/21,,,,191,,
7,C,ヒメタケシマラン,0,1,0.5,0.1,,2025/08/21,,14:41:00,,190,,
7,C,マイヅルソウ,0.5,0.5,1,0.1,0.5,2025/08/21,,,1,178,,
7,C,ミズバショウ,0,0.5,0.5,0.5,0.5,2025/08/21,,,0.5,179,,
7,C,ミツバオウレン,0,0,0.5,0.1,0.1,2025/08/21,,,0.5,180,,
7,C,ミヤマアキノキリンソウ,0,0,0.5,0,0.1,2025/08/21,,,,189,,
7,C,ミヤマカタバミ,0,0,0.5,0,0.2,2025/08/21,,,,188,,
7,C,ミヤマカンスゲ,5,0,5,4,2.6,2025/08/21,,15:19:00,,186,,
7,C,ミヤマシシガシラ,0,0,0,0.1,1.1,2025/08/21,,,0,181,,
7,C,ヤマソテツ,3,4,4,2,1.2,2025/08/21,,,,195,,
7,S,チシマザサ,10,100,95,95,60,2025/08/21,,,3,182,,
,,オオバショリマ,,,,,0.2,2025/08/21,,,,,,
,,タケシマラン,,,,,0.3,2025/08/21,,,,,,
,,シラネワラビ,,,,,0.1,2025/08/21,,,,,,
,,ヒロハユキザサ,,,,,0.1,2025/08/21,,,,,,
,,ユキザサ,,,,,0.1,2025/08/21,,,,,,
,,ヒメウスノキ,,,,,0.1,2025/08/21,,,,,,
,,ヤマイヌワラビ,,,,,0.1,2025/08/21,,,,,,
8,B2,オオカメノキ,3,4,2,2,1,2025/08/21,,,10,194,,
8,B2,オオシラビソ,3,2,0.5,0.5,1,2025/08/21,,,3,199,,
8,B2,オオバスノキ,3,6,1,5,4,2025/08/21,,,2,200,,
8,B2,クロウスゴ,1,0,0.5,0.5,0.3,2025/08/21,,,4,201,,
8,B2,クロツリバナ,2,1,0,0,0.5,2025/08/21,,,0,202,,
8,B2,ダケカンバ,0,1,0,0,,2025/08/21,,,1,203,,
8,B2,ナナカマド,0,0.5,0.5,1,0.2,2025/08/21,,,1,204,,
8,B2,ハリブキ,0.5,0.5,0,0.1,0.2,2025/08/21,,,0.5,205,,
8,B2,ヒメウスノキ,0,0.5,0.5,0.2,0.4,2025/08/21,,,0.5,206,,
8,B2,ミネカエデ,5,20,0,1,1.1,2025/08/21,,,0.5,207,,
8,C,イワカガミ,1,1,0.5,0.3,1.3,2025/08/21,,,6,208,,
8,C,イワナシ,0.5,0.5,0.5,0.2,0.2,2025/08/21,,,0.5,209,,
8,C,エンレイソウ,0.5,0.5,0.5,0,0.1,2025/08/21,,,0.5,210,,
8,C,オオバショリマ,0,0,0,0,0.1,2025/08/21,,,0.5,227,,
8,C,ゴゼンタチバナ,3,3,3,1.5,0.8,2025/08/21,,,1,211,,
8,C,シノブカグマ,0,0.5,0,0,0.1,2025/08/21,,,3,212,,
8,C,ショウジョウバカマ,0,1,0.5,0.1,0.2,2025/08/21,,,0.5,213,,
8,C,シラネワラビ,0,0,0,0,,2025/08/21,,,1,214,,
8,C,タケシマラン,0,2,0.5,0.1,0.2,2025/08/21,,,0.5,228,,
8,C,チゴユリ,2,0,0.5,0.1,0.1,2025/08/21,,,2,215,,
8,C,ツマトリソウ,0.5,0.5,0.5,0.1,,2025/08/21,,,0,224,,
8,C,ツルリンドウ,0.5,0.5,0.5,0.2,0.4,2025/08/21,,,0.5,216,,
8,C,ヒロハユキザサ,0,0.5,0.5,0.5,0.1,2025/08/21,,,0.5,217,,
8,C,マイヅルソウ,1,0.5,0,0.1,0.1,2025/08/21,,,0.5,218,,
8,C,ミズバショウ,4,4,6,4,4.5,2025/08/21,,,0.5,219,,
8,C,ミヤマカンスゲ,5,18,18,20,30,2025/08/21,,,3,220,,
8,C,ヤマソテツ,3,3,5,5,1.3,2025/08/21,,,5,221,,
8,C,ユキザサ,0.5,0,0.1,0,,2025/08/21,,,3,222,,
8,S,チシマザサ,9,95,95,95,90,2025/08/21,,,0,226,,
,,タニギキョウ,,,,,0.1,2025/08/21,,,,,,
,,コガネイチゴ,,,,,0.1,2025/08/21,,,,,,
,,オオバショリマ,,,,,0.1,2025/08/21,00:13:51,,,,,
9,B2,オオカメノキ,3,1,1,1,0.1,2025/08/21,,,9,229,,
9,B2,オオシラビソ,3,3,1,2,0.1,2025/08/21,,,1,230,,
9,B2,オオバスノキ,3,3,1,2,0.3,2025/08/21,,,3,231,,
9,B2,クロウスゴ,1,0,0,0.1,0.1,2025/08/21,,,3,232,,
9,B2,ナナカマド,0,0,0,0.1,0.1,2025/08/21,,,0,233,,
9,B2,ハリブキ,0.5,0,0,0,,2025/08/21,,,,258,,
9,B2,ヒメウスノキ,0,0,0.5,0,,2025/08/21,,,0,234,,
9,B2,ミネカエデ,4,5,1,1,1.5,2025/08/21,,,0.5,236,,
9,C,イワカガミ,0.5,2,1,0.3,0.3,2025/08/21,,,4,235,,
9,C,イワナシ,0,0,0.5,0.1,0.1,2025/08/21,,,,256,,
9,C,エンレイソウ,0,0.5,0.5,0,0.1,2025/08/21,,,0.5,237,,
9,C,オオバショリマ,0,0,0.1,0.3,1.5,2025/08/21,,,,253,,
9,C,ゴゼンタチバナ,4,3,1,0.5,0.3,2025/08/21,,,2,238,,
9,C,ショウジョウバカマ,0.5,1,0.5,0.2,0.5,2025/08/21,,,3,239,,
9,C,シラネワラビ,0,0,0.5,0.3,0.2,2025/08/21,,,1,240,,
9,C,チゴユリ,1,0,0.5,0.1,0.1,2025/08/21,,,,255,,
9,C,ツクバネソウ,0,0,0.1,0.1,0.2,2025/08/21,,,0,250,,
9,C,ツルリンドウ,2,1,0.6,0.2,0.1,2025/08/21,,,,252,,
9,C,ヒメタケシマラン,0,0.5,0.5,0.2,,2025/08/21,,,1,241,,
9,C,ホソバトウゲシバ,0,0.5,0,0,,2025/08/21,,,0.5,242,,
9,C,マイヅルソウ,2,2,0.5,0.1,0.1,2025/08/21,,,0.5,243,,
9,C,ミズバショウ,4,5,4,3,5.5,2025/08/21,,,2,244,,
9,C,ミツバオウレン,0.5,0.5,0.5,0.1,0.2,2025/08/21,,,4,245,,
9,C,ミヤマカンスゲ,6,15,18,20,16,2025/08/21,,,0.5,246,,
9,C,ヤマソテツ,3,3,3,0,2,2025/08/21,,,5,247,,
9,S,チシマザサ,9,95,90,90,70,2025/08/21,,,3,248,,
,,シノブカグマ,,,,,0.5,2025/08/21,,,,,,
,,タケシマラン,,,,,0.2,2025/08/21,,,,,,
10,B2,オオカメノキ,0.5,0,1,0.5,1,2025/08/21,,,9,257,,
10,B2,オオシラビソ,0,0,0,0.2,,2025/08/21,,,0,259,,
10,B2,オオバスノキ,3,2,0.5,1,0.5,2025/08/21,,,,283,,
10,B2,ダケカンバ,0,0,0,2,,2025/08/21,,,2,260,,
10,B2,ミネカエデ,5,18,0.5,4,0.9,2025/08/21,,,,282,,
10,C,イワカガミ,0.5,2,0.5,0.1,,2025/08/21,,,5,261,,
10,C,イワナシ,1,0,0,0,0.2,2025/08/21,,,0,262,,
10,C,エンレイソウ,0.5,0.5,0.5,0,0.1,2025/08/21,,,0.5,263,,
10,C,オオバショリマ,0,0,0,0.2,0.2,2025/08/21,,,,284,,
10,C,ゴゼンタチバナ,4,5,1,0.5,0.7,2025/08/21,,,2,264,,
10,C,ショウジョウバカマ,1,1,0.5,0.2,0.1,2025/08/21,,,4,265,,
10,C,シラネワラビ,2,0,0.5,0.1,,2025/08/21,,,1,266,,
10,C,タケシマラン,0,1,0.5,0.2,0.2,2025/08/21,,13:11:00,0,267,,
10,C,チゴユリ,1,0,0.5,0.1,0.1,2025/08/21,,,1,268,,
10,C,ツクバネソウ,0.5,0,0.5,0.1,,2025/08/21,,,0,278,,
10,C,ツルリンドウ,2,2,0.5,0.1,0.3,2025/08/21,,,0,269,,
10,C,ヒメゴヨウイチゴ,2,0,0.5,0.1,,2025/08/21,,,2,270,,
10,C,ヒロハユキザサ,0,0.5,0.5,0.3,0.3,2025/08/21,,13:05:00,0,271,,
10,C,マイヅルソウ,3,3,0.5,0.1,0.1,2025/08/21,,,0.5,272,,
10,C,ミズバショウ,0.5,2,1,1,2.3,2025/08/21,,,3,273,,
10,C,ミヤマカンスゲ,6,25,30,25,20,2025/08/21,,,2,274,,
10,C,ヤマソテツ,5,12,7,5,5.8,2025/08/21,,,6,275,,
10,C,ユキザサ,0.5,0,0,0,,2025/08/21,,,5,276,,
10,S,チシマザサ,9,95,90,85,90,2025/08/21,,,0,280,,
,,ヒメウスノキ,,,,,0.1,2025/08/21,,,,,,
,,コガネイチゴ,,,,,0.1,2025/08/21,,,,,,
11,B2,オオシラビソ,5,0,4,2.1,1.8,2025/08/21,,,9,281,,
11,B2,オオバスノキ,3,3,5,2,3.2,2025/08/21,,,0,285,,
11,B2,オガラバナ,0,0,0,0.5,3.4,2025/08/21,,,3,286,,
11,B2,クロウスゴ,1,1,2,0.1,1.5,2025/08/21,,,,321,,
11,B2,クロツリバナ,3,4,55,2,5,2025/08/21,,,1,287,,
11,B2,ナナカマド,0,0,0,0.1,,2025/08/21,,,3,288,,
11,B2,ヒメウスノキ,0,0.5,2,1.1,1.5,2025/08/21,,,,322,,
11,B2,ミネカエデ,3,0,0.5,0.5,1,2025/08/21,,,0.5,289,,
11,C,イワカガミ,2,2,0.5,0.5,0.7,2025/08/21,,,0,290,,
11,C,イワナシ,1,0.5,0,0.4,0.2,2025/08/21,,,0.5,291,,
11,C,エンレイソウ,0,0.5,0,0,,2025/08/21,,,0.5,292,,
11,C,オオバショリマ,0,0,0.5,0.4,0.5,2025/08/21,,,,313,,
11,C,オオバタケシマラン,0,0.5,0,0.3,0.1,2025/08/21,,,0.5,293,,
11,C,オオバノヨツバムグラ,0,0,0,0.1,,2025/08/21,,,,320,,
11,C,コバイケイソウ,0,1,0,0,0.1,2025/08/21,,,2,294,,
11,C,コミヤマカタバミ,0,0,0,0.3,0.1,2025/08/21,,,3,295,,
11,C,ゴゼンタチバナ,0,4,4,1,0.2,2025/08/21,,,1,296,,
11,C,サンカヨウ,0,0,0,0.1,,2025/08/21,,,,317,,
11,C,シノブカグマ,0,0.5,0.5,0,0.1,2025/08/21,,,,316,,
11,C,ショウジョウバカマ,2,2,0.5,0.1,0.1,2025/08/21,,,0.5,297,,
11,C,シラネワラビ,1,0,1,0.1,,2025/08/21,,,2,298,,
11,C,タケシマラン,0,1,0.5,0.1,0.1,2025/08/21,,,0,299,,
11,C,チゴユリ,1,0,0,0.2,,2025/08/21,,,1,300,,
11,C,ツクバネソウ,0.5,0.5,0,0,,2025/08/21,,,0,311,,
11,C,ツマトリソウ,0,0.5,0.1,0,0.1,2025/08/21,,,0.5,301,,
11,C,ツルリンドウ,0.5,0.5,0,0.1,0.1,2025/08/21,,,0.5,302,,
11,C,ヒメゴヨウイチゴ,0,0,0.1,0.1,0.1,2025/08/21,,,0.5,303,,
11,C,フキ,0,0,0.1,0,,2025/08/21,,,,314,,
11,C,マイヅルソウ,1,1,0.1,0.1,0.1,2025/08/21,,,,312,,
11,C,ミズバショウ,2,5,1,3,4.2,2025/08/21,,,1,304,,
11,C,ミツバオウレン,2,1,0.1,0.1,0.2,2025/08/21,,,4,305,,
11,C,ミヤマアキノキリンソウ,0,0,0,0.1,,2025/08/21,,,1,306,,
11,C,ミヤマカンスゲ,5,10,10,5,0.3,2025/08/21,,,,318,,
11,C,モミジカラマツ,0,0.5,0.1,0.1,,2025/08/21,,,5,307,,
