サブプロット,階層,種名,DK1999,被度2006,被度2012,被度2018,被度2025,DK2006
2,C,ヒメタケシマラン,0,0,0.5,0.1,0,1
2,C,ヒメノガリヤス,0,0,0.5,0.1,0,0
2,C,マイヅルソウ,0.5,0,0.5,0.1,0.1,0
2,C,ミツバオウレン,0,0,0,0.1,0.1,0
2,C,ミヤマアキノキリンソウ,0,0,0,0,0.3,0
2,C,ミヤマカンスゲ,4,8,5,3,5,0
2,C,ミヤマセンキュウ,0,0,0,0,0.1,0
2,C,ミヤマワラビ,0.5,0,1,0,0.1,4
2,C,ヤマソテツ,0,0.5,0.5,0.5,0.7,0
2,C,ヤマドリゼンマイ,0,0,0,1,1,0.5
2,S,チシマザサ,10,100,90,90,80,0
3,B2,オオカメノキ,0.5,0,0,0,0.1,10
3,B2,オオシラビソ,2,0.5,0.5,3,1.5,0
3,B2,オオバスノキ,3,3,4,2,2.4,0.5
3,B2,クロウスゴ,0.5,0,0.5,0.5,0.1,3
3,B2,ナナカマド,3,10,0,1.5,0.1,0
3,B2,ヒメウスノキ,0,0,0,0,0.1,0
3,B2,ミネカエデ,3,3,4,3,3.2,5
3,C,イワカガミ,0.5,0,0.5,0.3,0.4,3
3,C,イワナシ,0.5,0.5,0.5,0.1,0.9,0.5
3,C,オオバショリマ,0,0,0,0,0.5,0
3,C,コバイケイソウ,0,0,0,0,0.1,0
3,C,ゴゼンタチバナ,4,4,1.5,0.5,0.5,0
3,C,ショウジョウバカマ,1,2,0.5,0.2,0.1,3
3,C,シラネワラビ,0,0.5,0,0,0,2
3,C,タケシマラン,0,0,0,0,0.2,0
3,C,チゴユリ,1,0,0.5,0.1,0.1,0.5
3,C,ツマトリソウ,0.5,0,0.5,0.1,0,0
3,C,ツルリンドウ,0.5,2,0.5,0.1,0.1,0
3,C,ヒメゴヨウイチゴ,0.5,0,0,0,0,2
3,C,ヒメタケシマラン,0,1,0.5,0.1,0,0
3,C,ヒロハユキザサ,0,0.5,1,0.5,0,1
3,C,マイヅルソウ,0.5,0,0,0,0,0.5
3,C,ミズバショウ,1,2,9,9,12.3,0
3,C,ミツバオウレン,0.5,0,0.5,0.1,0,2
3,C,ミヤマカンスゲ,6,25,7,9,12,0
3,C,ヤマソテツ,4,5,2,2,1.3,6
3,C,ヤマドリゼンマイ,0,0,0,0.2,0,4
3,C,ヤマブキショウマ,0,0,0,0,0.1,0
3,C,ユキザサ,0.5,0,0,0,0,0
3,S,チシマザサ,9,95,95,95,80,0
4,B2,オオカメノキ,0,0,0.5,0.2,1.3,9
4,B2,オオシラビソ,4,8,0.5,1,0.1,0
4,B2,オオバスノキ,3,3,1,4,3.2,4
4,B2,オガラバナ,2,2,0,0,1,3
4,B2,クロウスゴ,1,1,0,0.2,0,2
4,B2,ダケカンバ,2,0,0,0,0,1
4,B2,ナナカマド,0,2,0,1,0.1,0
4,B2,ヒメウスノキ,0,0,0,0.2,0.3,2
4,B2,ミネカエデ,4,6,0.5,0.5,1.3,0
4,B2,ミヤマホツツジ,0,0,0.5,0,0,4
4,C,イワカガミ,0.5,0,0.5,0.2,0.7,0
4,C,イワナシ,0,0,0.5,0.1,0.3,0
4,C,エンレイソウ,0,0,0,0,0.1,0
4,C,オオバショリマ,0,0,0.5,0.3,0.2,0
4,C,ゴゼンタチバナ,2,2,1,0.5,1,0
4,C,サンカヨウ,0,0,0.5,0,0.1,2
4,C,シノブカグマ,0.5,0,0,0,0.1,0
4,C,ショウジョウバカマ,0.5,1,0.5,0.5,1.3,0
4,C,タケシマラン,0,0,0,0,2.1,0
4,C,チゴユリ,1,0,0.5,0,0.1,1
4,C,ツクバネソウ,0,0.5,0.5,0.1,0,0
4,C,ツルリンドウ,0.5,0,0,0,0,0.5
4,C,ヒメタケシマラン,0,2,0.5,0.2,0,0
4,C,マイヅルソウ,0,0,0.5,0.1,0.1,2
4,C,ミズバショウ,4,5,3,3,5.9,0
4,C,ミツバオウレン,0,0.5,0.5,0.1,0,4
4,C,ミヤマカンスゲ,5,18,13,14,14,0.5
4,C,ヤマソテツ,3,5,2,3,3.4,5
4,S,チシマザサ,9,100,95,95,80,4
5,B2,オオカメノキ,2,2,0.5,0.5,1.6,10
5,B2,オオシラビソ,3,0,0.5,2,1.5,2
5,B2,オオバスノキ,3,3,0.5,4,1.1,0
5,B2,オガラバナ,0,0,0,0.2,0,3
5,B2,ナナカマド,0.5,0.5,0.5,0.5,0.5,0
5,B2,ヒメウスノキ,0,0,0.5,0.2,0.5,0.5
5,B2,ミネカエデ,5,20,2,5,3.5,0
5,C,イワカガミ,0,0.5,0.5,0.3,0.3,6
5,C,イワナシ,0,0.5,0,0.1,0.1,0.5
5,C,エンレイソウ,0,0.5,0,0,0,0.5
5,C,オオバショリマ,0,0,0,0,0.30000000000000004,0
5,C,キソチドリ,0.5,0,0,0,0,0
5,C,ゴゼンタチバナ,2,3,1,0.2,0.7,0.5
5,C,シノブカグマ,0,0.5,0,0.1,0.3,3
5,C,ショウジョウバカマ,2,2,0.5,0.2,0.2,0.5
5,C,シラネワラビ,1,1,0.5,0,0.3,2
5,C,ゼンマイ,0,0,0,0,0.1,0
5,C,タケシマラン,0,0,0,0,0.4,0
5,C,チゴユリ,2,0,0.5,0,0,1
5,C,ツクバネソウ,0,0,0.5,0,0,0
5,C,ツルリンドウ,2,2,0.5,0.1,0.1,0
5,C,ヒメタケシマラン,0,0.5,0.5,0.1,0,2
5,C,ヒロハユキザサ,0,0.5,0.5,0.2,0.1,0.5
5,C,マイヅルソウ,3,3,0.5,0.1,0.2,0.5
5,C,ミズバショウ,1,5,10,5,5,3
5,C,ミツバオウレン,0,0,0.5,0.1,0.1,4
5,C,ミヤマカンスゲ,6,18,30,30,30,0
5,C,ミヤマワラビ,0,0,0,0.1,0,5
5,C,ヤマソテツ,4,5,1.5,4,3.5,0
5,C,ヤマドリゼンマイ,3,0.5,0.5,0.3,0,4
5,S,チシマザサ,9,100,80,85,70,0.5
6,B2,オオシラビソ,4,5,3,5,6.5,10
6,B2,オオバスノキ,3,6,12,9,2.1,4
6,B2,クロウスゴ,2,2,2,1,0.3,4
6,B2,コメツガ,0,0,0,1,0,2
6,B2,ダケカンバ,0,0,0,0,0.5,0
6,B2,ナナカマド,0,5,4,4,1.1,0
6,B2,ヒメウスノキ,0,0.5,5,0.5,0.2,4
6,B2,ミネカエデ,5,5,6,4,2.5,0.5
6,B2,ミヤマハンノキ,0,0.5,1,1,0,4
6,C,イワカガミ,2,1,0.5,0.2,0.2,0.5
6,C,イワナシ,0.5,0.5,0.1,0.1,0.3,0.5
6,C,エンレイソウ,0,0.5,0,0,0.1,0.5
6,C,ゴゼンタチバナ,2,2,0.5,0.5,0.7,1
6,C,サンカヨウ,0,0.5,0,0,0,2
6,C,シノブカグマ,0,0.5,0.5,0.2,0.1,0.5
6,C,ショウジョウバカマ,4,2,0.5,0.2,1.2,0.5
6,C,シラネワラビ,0,0.5,0.5,0.1,0,2
6,C,タケシマラン,0,0,0,0,0.2,0
6,C,チゴユリ,1,0,0,0.1,0.1,0.5
6,C,ツマトリソウ,0,0,0,0.1,0.1,0
6,C,ツルリンドウ,0,0.5,0,0.1,0,0
6,C,ヒメタケシマラン,0,1,0.5,0.1,0,0.5
6,C,ヒロハユキザサ,0,0,0.1,0,0,1
6,C,マイヅルソウ,1,0,0.1,0,0,0
6,C,ミズバショウ,6,30,18,15,9.5,0
6,C,ミツバオウレン,1,0.5,0.1,0.1,0.2,6
6,C,ミヤマカンスゲ,6,20,15,10,6,0.5
6,C,ヤマソテツ,4,5,2,2,1.2,6
6,S,チシマザサ,9,100,95,95,60,4
7,B2,オオカメノキ,0,0,0,1,1,10
7,B2,オオシラビソ,6,20,2,3,0.5,0
7,B2,オオバスノキ,0.5,1,0.6,1.5,0.3,6
7,B2,オガラバナ,4,4,5,0,0,1
7,B2,クロウスゴ,0.5,1,1,1,0.1,3
7,B2,クロツリバナ,0,0,0.1,0,0,1
7,B2,ナナカマド,2,5,1,3,1.6,0
7,B2,ハリブキ,0,0,0,0.1,0.1,4
7,B2,ヒメウスノキ,0,0,0,0,0.1,0
7,B2,ミネカエデ,0,4,3,2,2,0
7,B2,ミヤマハンノキ,4,5,0,0,0,3
7,C,イワカガミ,1,2,0.2,0.3,0.3,4
7,C,エンレイソウ,0.5,0.5,0.5,0,0.2,0.5
7,C,オオバショリマ,0,0,0.6,1,0.30000000000000004,0
7,C,オオバタケシマラン,0.5,0.5,0.5,0.1,0.1,0.5
7,C,ゴゼンタチバナ,1,1,1.5,0.5,0.6,2
7,C,シノブカグマ,0,0,0,0.1,0.2,1
7,C,ショウジョウバカマ,2,2,0.1,0.5,2.4,0
7,C,シラネワラビ,0,0,0,0,0.1,0
7,C,タケシマラン,0,0,0,0,0.3,0
7,C,チゴユリ,1,0,0,0,0,2
7,C,ツルリンドウ,0,0,0.5,0.1,0.1,0
7,C,ヒメゴヨウイチゴ,0,0,0.5,0,0,0
7,C,ヒメタケシマラン,0,1,0.5,0.1,0,0
7,C,ヒロハユキザサ,0,0,0,0,0.1,0
7,C,マイヅルソウ,0.5,0.5,1,0.1,0.5,1
7,C,ミズバショウ,0,0.5,0.5,0.5,0.5,0.5
7,C,ミツバオウレン,0,0,0.5,0.1,0.1,0.5
7,C,ミヤマアキノキリンソウ,0,0,0.5,0,0.1,0
7,C,ミヤマカタバミ,0,0,0.5,0,0.2,0
7,C,ミヤマカンスゲ,5,0,5,4,2.6,0
7,C,ミヤマシシガシラ,0,0,0,0.1,1.1,0
7,C,ヤマイヌワラビ,0,0,0,0,0.1,0
7,C,ヤマソテツ,3,4,4,2,1.2,0
7,C,ユキザサ,0,0,0,0,0.1,0
7,S,チシマザサ,10,100,95,95,60,3
8,B2,オオカメノキ,3,4,2,2,1,10
8,B2,オオシラビソ,3,2,0.5,0.5,1,3
8,B2,オオバスノキ,3,6,1,5,4,2
8,B2,クロウスゴ,1,0,0.5,0.5,0.3,4
8,B2,クロツリバナ,2,1,0,0,0.5,0
8,B2,ダケカンバ,0,1,0,0,0,1
8,B2,ナナカマド,0,0.5,0.5,1,0.2,1
8,B2,ハリブキ,0.5,0.5,0,0.1,0.2,0.5
8,B2,ヒメウスノキ,0,0.5,0.5,0.2,0.4,0.5
8,B2,ミネカエデ,5,20,0,1,1.1,0.5
8,C,イワカガミ,1,1,0.5,0.3,1.3,6
8,C,イワナシ,0.5,0.5,0.5,0.2,0.2,0.5
8,C,エンレイソウ,0.5,0.5,0.5,0,0.1,0.5
8,C,オオバショリマ,0,0,0,0,0.2,0.5
8,C,コガネイチゴ,0,0,0,0,0.1,0
8,C,ゴゼンタチバナ,3,3,3,1.5,0.8,1
8,C,シノブカグマ,0,0.5,0,0,0.1,3
8,C,ショウジョウバカマ,0,1,0.5,0.1,0.2,0.5
8,C,シラネワラビ,0,0,0,0,0,1
8,C,タケシマラン,0,2,0.5,0.1,0.2,0.5
8,C,タニギキョウ,0,0,0,0,0.1,0
8,C,チゴユリ,2,0,0.5,0.1,0.1,2
8,C,ツマトリソウ,0.5,0.5,0.5,0.1,0,0
8,C,ツルリンドウ,0.5,0.5,0.5,0.2,0.4,0.5
8,C,ヒロハユキザサ,0,0.5,0.5,0.5,0.1,0.5
8,C,マイヅルソウ,1,0.5,0,0.1,0.1,0.5
8,C,ミズバショウ,4,4,6,4,4.5,0.5
8,C,ミヤマカンスゲ,5,18,18,20,30,3
8,C,ヤマソテツ,3,3,5,5,1.3,5
8,C,ユキザサ,0.5,0,0.1,0,0,3
8,S,チシマザサ,9,95,95,95,90,0
9,B2,オオカメノキ,3,1,1,1,0.1,9
9,B2,オオシラビソ,3,3,1,2,0.1,1
9,B2,オオバスノキ,3,3,1,2,0.3,3
9,B2,クロウスゴ,1,0,0,0.1,0.1,3
9,B2,ナナカマド,0,0,0,0.1,0.1,0
9,B2,ハリブキ,0.5,0,0,0,0,0
9,B2,ヒメウスノキ,0,0,0.5,0,0,0
9,B2,ミネカエデ,4,5,1,1,1.5,0.5
9,C,イワカガミ,0.5,2,1,0.3,0.3,4
9,C,イワナシ,0,0,0.5,0.1,0.1,0
9,C,エンレイソウ,0,0.5,0.5,0,0.1,0.5
9,C,オオバショリマ,0,0,0.1,0.3,1.5,0
9,C,ゴゼンタチバナ,4,3,1,0.5,0.3,2
9,C,シノブカグマ,0,0,0,0,0.5,0
9,C,ショウジョウバカマ,0.5,1,0.5,0.2,0.5,3
9,C,シラネワラビ,0,0,0.5,0.3,0.2,1
9,C,タケシマラン,0,0,0,0,0.2,0
9,C,チゴユリ,1,0,0.5,0.1,0.1,0
9,C,ツクバネソウ,0,0,0.1,0.1,0.2,0
9,C,ツルリンドウ,2,1,0.6,0.2,0.1,0
9,C,ヒメタケシマラン,0,0.5,0.5,0.2,0,1
9,C,ホソバトウゲシバ,0,0.5,0,0,0,0.5
9,C,マイヅルソウ,2,2,0.5,0.1,0.1,0.5
9,C,ミズバショウ,4,5,4,3,5.5,2
9,C,ミツバオウレン,0.5,0.5,0.5,0.1,0.2,4
9,C,ミヤマカンスゲ,6,15,18,20,16,0.5
9,C,ヤマソテツ,3,3,3,0,2,5
9,S,チシマザサ,9,95,90,90,70,3
10,B2,オオカメノキ,0.5,0,1,0.5,1,9
10,B2,オオシラビソ,0,0,0,0.2,0,0
10,B2,オオバスノキ,3,2,0.5,1,0.5,0
10,B2,ダケカンバ,0,0,0,2,0,2
10,B2,ヒメウスノキ,0,0,0,0,0.1,0
10,B2,ミネカエデ,5,18,0.5,4,0.9,0
10,C,イワカガミ,0.5,2,0.5,0.1,0,5
10,C,イワナシ,1,0,0,0,0.2,0
10,C,エンレイソウ,0.5,0.5,0.5,0,0.1,0.5
10,C,オオバショリマ,0,0,0,0.2,0.2,0
10,C,コガネイチゴ,0,0,0,0,0.1,0
10,C,ゴゼンタチバナ,4,5,1,0.5,0.7,2
10,C,ショウジョウバカマ,1,1,0.5,0.2,0.1,4
10,C,シラネワラビ,2,0,0.5,0.1,0,1
10,C,タケシマラン,0,1,0.5,0.2,0.2,0
10,C,チゴユリ,1,0,0.5,0.1,0.1,1
10,C,ツクバネソウ,0.5,0,0.5,0.1,0,0
10,C,ツルリンドウ,2,2,0.5,0.1,0.3,0
10,C,ヒメゴヨウイチゴ,2,0,0.5,0.1,0,2
10,C,ヒロハユキザサ,0,0.5,0.5,0.3,0.3,0
10,C,マイヅルソウ,3,3,0.5,0.1,0.1,0.5
10,C,ミズバショウ,0.5,2,1,1,2.3,3
10,C,ミヤマカンスゲ,6,25,30,25,20,2
10,C,ヤマソテツ,5,12,7,5,5.8,6
10,C,ユキザサ,0.5,0,0,0,0,5
10,S,チシマザサ,9,95,90,85,90,0
11,B2,オオシラビソ,5,0,4,2.1,1.8,9
11,B2,オオバスノキ,3,3,5,2,3.2,0
11,B2,オガラバナ,0,0,0,0.5,3.4,3
11,B2,クロウスゴ,1,1,2,0.1,1.5,0
11,B2,クロツリバナ,3,4,55,2,5,1
11,B2,ナナカマド,0,0,0,0.1,0,3
11,B2,ヒメウスノキ,0,0.5,2,1.1,1.5,0
11,B2,ミネカエデ,3,0,0.5,0.5,1,0.5
11,B2,ミヤマハンノキ,0,0,0,0,2,0
11,B2,ムラサキヤシオツツジ,0,0,0,0,0.1,0
11,C,イワカガミ,2,2,0.5,0.5,0.7,0
11,C,イワナシ,1,0.5,0,0.4,0.4,0.5
11,C,エンレイソウ,0,0.5,0,0,0,0.5
11,C,オオバショリマ,0,0,0.5,0.4,0.5,0
11,C,オオバタケシマラン,0,0.5,0,0.3,0.1,0.5
11,C,オオバノヨツバムグラ,0,0,0,0.1,0,0
11,C,コバイケイソウ,0,1,0,0,0.1,2
11,C,コミヤマカタバミ,0,0,0,0.3,0.1,3
11,C,ゴゼンタチバナ,0,4,4,1,0.2,1
11,C,サンカヨウ,0,0,0,0.1,0,0
11,C,シノブカグマ,0,0.5,0.5,0,0.1,0
11,C,ショウジョウバカマ,2,2,0.5,0.1,0.1,0.5
11,C,シラネワラビ,1,0,1,0.1,0,2
11,C,タケシマラン,0,1,0.5,0.1,0.1,0
11,C,チゴユリ,1,0,0,0.2,0,1
11,C,ツクバネソウ,0.5,0.5,0,0,0,0
11,C,ツマトリソウ,0,0.5,0.1,0,0.1,0.5
11,C,ツルリンドウ,0.5,0.5,0,0.1,0.1,0.5
11,C,ヒメゴヨウイチゴ,0,0,0.1,0.1,0.1,0.5
11,C,フキ,0,0,0.1,0,0,0
11,C,マイヅルソウ,1,1,0.1,0.1,0.1,0
11,C,ミズバショウ,2,5,1,3,4.2,1
11,C,ミツバオウレン,2,1,0.1,0.1,0.2,4
11,C,ミヤマアキノキリンソウ,0,0,0,0.1,0,1
11,C,ミヤマカンスゲ,5,10,10,5,0.3,0
11,C,モミジカラマツ,0,0.5,0.1,0.1,0,5
11,C,ヤマソテツ,0,3,4,0.5,0.6,0.5
11,C,ヤマドリゼンマイ,0,1,0.5,0.2,1.5,3
11,S,チシマザサ,9,95,95,60,70,1
12,B2,オオカメノキ,0,0,0,1,0,9
12,B2,オオシラビソ,3,5,1,1.5,2,0
12,B2,オオバスノキ,0,3,2,1,0.1,4
12,B2,オガラバナ,5,20,10,0.8,2.7,3
12,B2,クロウスゴ,0,1,1,0.5,1,6
12,B2,クロツリバナ,0,3,0.5,2,1.1,1
12,B2,ダケカンバ,0,0.5,0.5,1.6,0,3
12,B2,ナナカマド,5,8,2,1.8,0,0.5
12,B2,ハリブキ,0.5,0.5,0.5,0.1,0.8,4
12,B2,ヒメウスノキ,0,0,0,0,0.2,0
12,B2,ミネカエデ,4,5,1,0.3,0.1,0.5
12,B2,ミヤマハンノキ,0,0,0,0,0.1,0
12,B2,ムラサキヤシオツツジ,0,0,0,0.1,0,4
12,C,イワカガミ,0,0.5,0.1,0,0,0
12,C,イワナシ,0,0,0,0.1,0,0
12,C,エンレイソウ,0,0.5,0.1,0.6,0.3,0.5
12,C,オオバショリマ,0,0.5,1,0.2,0.1,0.5
12,C,オオバタケシマラン,0,0,0,0,0.1,0
12,C,キヌガサソウ,0,0,0,0.1,0,0
12,C,コミヤマカタバミ,3,0.5,1,2,1.3,0.5
12,C,ゴゼンタチバナ,0,0.5,0.1,0.1,0.7,0.5
12,C,サンカヨウ,0,0,0.1,0,0,0.5
12,C,シノブカグマ,0,0.5,0.5,0.5,0.1,0
12,C,ショウジョウバカマ,1,1,0.5,1,0.3,0.5
12,C,シラネワラビ,2,1,2,3,4.5,1
12,C,タケシマラン,0,2,1,0.2,0.6,1
12,C,チゴユリ,2,0,0,0,0,2
12,C,ツクバネソウ,0,0,0,0.2,0.1,0
12,C,ツマトリソウ,0,0,0,0.2,0.1,0
12,C,ヒメゴヨウイチゴ,0,0.5,1,0.2,0.2,0
12,C,ヒロハユキザサ,0,0,0.1,0,0,0.5
12,C,マイヅルソウ,0.5,0.5,0.5,0.1,0.1,0
12,C,ミズバショウ,0,0,0,0,0.2,0
12,C,ミヤマカンスゲ,5,8,10,8,2.5,0.5
12,C,ミヤマワラビ,0,0.5,0,0,0,4
12,C,ヤマイヌワラビ,0,0,0,0,0.1,0
12,C,ヤマソテツ,3,2,0.5,1,0.4,0.5
12,C,ヤマドリゼンマイ,0,0,0,0.5,0,2
12,S,チシマザサ,9,95,90,90,90,0
13,B2,ウラジロナナカマド,0,2,2,3,0,0
13,B2,オオカメノキ,3,3,3,0,0,9
13,B2,オオシラビソ,4,4,2,0.7,0.6,2
13,B2,オオバスノキ,1,2,4,1.1,0.4,3
13,B2,オガラバナ,4,8,5,5,0.5,3
13,B2,クロウスゴ,3,2,2,3,0.1,2
13,B2,クロツリバナ,3,5,3,4,2,4
13,B2,タカネナナカマド,2,0,0,0,0,2
13,B2,ダケカンバ,4,5,2,3,0.1,4
13,B2,ナナカマド,0,3,8,0,1,0
13,B2,ハリブキ,0,0.5,0,0.5,0.1,4
13,B2,ヒメウスノキ,0,0,0.1,0.1,0.2,3
13,B2,ミネカエデ,0,0,2,0,1.4,0.5
13,B2,ミヤマハンノキ,0,2,0,0,0,0
13,B2,ムラサキヤシオツツジ,0,0.5,0,0,0,0
13,C,イヌワラビ,0,0.5,0,0,0,2
13,C,イワナシ,1,1,1,0,0,0.5
13,C,エンレイソウ,0,0.5,0.1,0,0,0.5
13,C,オオバショリマ,0,1,0.5,0.5,0.1,1
13,C,オオバタケシマラン,0,0,0,1,0,0.5
13,C,オオバノヨツバムグラ,0,0.5,0,0,0,1
13,C,キヌガサソウ,2,2,0.5,1,0.3,0
13,C,コミヤマカタバミ,3,3,3,1.1,0.1,0.5
13,C,ゴゼンタチバナ,0,2,1,0.7,0.1,2
13,C,シノブカグマ,2,1,0.5,0,0.1,2
13,C,ショウジョウバカマ,2,2,0.5,0.4,0.1,3
13,C,シラネワラビ,4,6,5,5,4.1,1
13,C,タニギキョウ,0,0,0,0,0.1,0
13,C,チゴユリ,1,0,0,0,0.1,2
13,C,ツクバネソウ,0.5,0.5,0.1,0,0.2,4
13,C,ツマトリソウ,0.5,0.5,0.1,0.2,0,0
13,C,ツルリンドウ,0.5,0,0,0,0.1,0.5
13,C,ヒメゴヨウイチゴ,5,5,2,2,1.5,0.5
13,C,ヒメタケシマラン,0,0.5,0.1,0.2,0,0
13,C,ヒメワラビ,0,0,1,0,0,4
13,C,ヒロハユキザサ,0,0,0,0,0.1,0
13,C,マイヅルソウ,0,0,0,0.1,0,0.5
13,C,ミズバショウ,4,4,5,6,4.5,0
13,C,ミツバオウレン,0,0.5,0.1,0,0,0
13,C,ミヤマアキノキリンソウ,0.5,0,0.1,0,0.1,3
13,C,ミヤマカンスゲ,6,15,15,9,2,0.5
13,C,ヤマイヌワラビ,0,0,0,0,0.1,0
13,C,ヤマソテツ,0,0,1,2.2,0.8,0
13,S,チシマザサ,9,95,80,85,85,5
14,B2,オオカメノキ,3,2,2,2.1,0.8,0
14,B2,オオシラビソ,4,5,3,2,4,9
14,B2,オオバスノキ,5,10,10,3.3,1.4,2
14,B2,クロウスゴ,1,0,0.5,0,0.1,4
14,B2,ダケカンバ,0,0,0,0,0.1,0
14,B2,ナナカマド,4,5,4,5,0.7,5
14,B2,ハリブキ,0,0.5,0,0.2,0,0
14,B2,ヒメウスノキ,0,0.5,0.5,0,0,4
14,B2,ベニバナイチゴ,0,0.5,0,0,0,0.5
14,B2,ミネカエデ,4,6,5,1.1,1.4,0.5
14,C,イヌワラビ,0,0.5,0,0,0,0.5
14,C,イワカガミ,0,0.5,0.5,0,0.3,4
14,C,イワナシ,0,0.5,0.1,0,0.1,0.5
14,C,エンレイソウ,0,0.5,0,0,0.1,0.5
14,C,オオバショリマ,0,0.5,0.5,0.5,0.1,0.5
14,C,オオバノヨツバムグラ,0,1,0,0,0,0.5
14,C,コミヤマカタバミ,0,5,0.5,0.2,0.1,1
14,C,ゴゼンタチバナ,4,0,0.5,0.1,0.2,0.5
14,C,サンカヨウ,0,0.5,0.1,0,0,0.5
14,C,シノブカグマ,2,0,1,0,0,0
14,C,ショウジョウバカマ,1,1,0.5,0.2,0.3,4
14,C,シラネワラビ,0,0.5,0.5,0.1,0.1,0.5
14,C,タケシマラン,0,0,0,0,0.1,0
14,C,タニギキョウ,0,1,0,0,0,0
14,C,チゴユリ,0.5,0,0,0,0.1,1
14,C,ツクバネソウ,0,1,0.1,0,0,0.5
14,C,ツマトリソウ,0,0.5,0.1,0,0.4,1
14,C,ツルリンドウ,3,0,0.1,0,0.1,0
14,C,ヒメゴヨウイチゴ,0,1,0.5,0.1,0,1
14,C,ヒメタケシマラン,0,1,0.1,0.1,0,0.5
14,C,ミズバショウ,2,2,3,2,2,0
14,C,ミツバオウレン,0.5,0.5,0.1,0.2,0,1
14,C,ミヤマアキノキリンソウ,0,0,0,0.1,0,1
14,C,ミヤマカンスゲ,6,30,20,7,8,2
14,C,ミヤマメシダ,0,2,1,0,0,0.5
14,C,ミヤマワラビ,0,0.5,0,0,0,0
14,C,モミジカラマツ,0,1,0,0,0,6
14,C,ヤマイヌワラビ,0,0,0,0,0.1,0
14,C,ヤマソテツ,0,4,3,1.4,2.7,2
14,C,ヤマトユキザサ,0,0.5,0.1,0,0,0.5
14,C,ユキザサ,0,0,0,0,0.1,0
14,S,チシマザサ,9,95,95,83,80,1
15,B2,オオカメノキ,0.5,0.5,0.1,0.1,0,3
15,B2,オオシラビソ,3,0,2,1.1,0.5,9
15,B2,オオバスノキ,0,6,3,0.2,0.5,0.5
15,B2,オガラバナ,0,0,0.5,0,0.5,0
15,B2,クロウスゴ,1,0.5,0.1,0.3,0.1,4
15,B2,クロツリバナ,0,1,0,0,0.1,0
15,B2,ナナカマド,0.5,0.5,0.5,0.5,0.1,0.5
15,B2,ヒメウスノキ,0,0.5,0.1,0.4,0.3,1
15,B2,ミネカエデ,5,10,8,6,5,0.5
15,B2,ムラサキヤシオツツジ,0,0,0.1,0,0,0.5
15,C,イワカガミ,0,1,0.1,0.1,0.1,5
15,C,イワナシ,0.5,0,0.1,0,0.2,0
