"","階層","種名","form","F1999","F2006","F2012","F2018","f1999","f2006","f2012","f2018","V1999","V2006","V2012","V2018","v1999","v2006","v2012","v2018","集計"
"40","C","オオバノヨツバムグラ","h",12,28,20,16,"Ⅰ","Ⅱ","Ⅰ","Ⅰ",0.1,0.26,0.02,0.032,3.46410161513775,8.53229160308062,4.47213595499958,3.57770876399966,"*"
"41","C","オオバユキザサ","h",0,4,4,4,"-","Ⅰ","Ⅰ","Ⅰ",0,0.02,0.004,0.02,0,0.894427190999916,0.894427190999916,0.894427190999916,""
"42","C","オシダ","f",4,0,8,4,"Ⅰ","-","Ⅰ","Ⅰ",0.02,0,0.04,0.04,0.894427190999916,0,1.78885438199983,1.26491106406735,""
"43","C","オニシモツケ","h",0,8,4,8,"-","Ⅰ","Ⅰ","Ⅰ",0,0.6,0.12,0.24,0,5.3665631459995,2.19089023002066,4,""
"44","C","カニコウモリ","h",4,8,12,8,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.02,0.06,0.048,0.032,0.894427190999916,2.19089023002066,3.09838667696593,1.78885438199983,"*"
"45","C","キオン","h",4,0,0,0,"Ⅰ","-","-","-",0.02,0,0,0,0.894427190999916,0,0,0,""
"46","C","キソチドリ","h",8,0,0,0,"Ⅰ","-","-","-",0.04,0,0,0,1.78885438199983,0,0,0,""
"47","C","キヌガサソウ","h",8,12,12,12,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.1,0.12,0.06,0.048,2.82842712474619,3.79473319220206,2.68328157299975,3.09838667696593,"*"
"48","C","クロトウヒレン","h",0,0,0,4,"-","-","-","Ⅰ",0,0,0,0.04,0,0,0,1.26491106406735,""
"49","C","コイワカガミ","h",44,44,60,56,"Ⅲ","Ⅲ","Ⅲ","Ⅲ",0.4,0.52,0.26,0.14,13.2664991614216,15.1261363209512,13.856406460551,12.5219806739988,"*"
"50","C","コウゾリナ","h",8,4,0,0,"Ⅰ","Ⅰ","-","-",0.18,0.02,0,0,3.79473319220206,0.894427190999916,0,0,""
"51","C","コガネギク","h",0,24,0,0,"-","Ⅱ","-","-",0,0.24,0,0,0,7.58946638440411,0,0,""
"52","C","コゴメグサ","h",4,0,0,0,"Ⅰ","-","-","-",0.02,0,0,0,0.894427190999916,0,0,0,""
"53","C","ゴゼンタチバナ","h",60,72,72,68,"Ⅲ","Ⅳ","Ⅳ","Ⅳ",1.46,1.4,0.856,0.408,29.5972971738975,30.3578655376164,24.2981480775799,16.8997041394221,"*"
"54","C","コバイケイソウ","h",4,12,4,8,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.02,0.08,0.02,0.008,0.894427190999916,3.09838667696593,0.894427190999916,1.78885438199983,"*"
"55","C","ゴマナ","h",4,16,8,20,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.04,0.98,0.24,0.864,1.26491106406735,8.94427190999916,4,11.4891252930761,"*"
"56","C","コミヤマカタバミ","h",36,48,48,52,"Ⅱ","Ⅲ","Ⅲ","Ⅲ",0.9,1.86,1.264,1.36,18,26.4726273724389,23.5966099260042,24.560130292814,"*"
"57","C","コメススキ","h",0,0,0,8,"-","-","-","Ⅰ",0,0,0,0.008,0,0,0,1.78885438199983,""
"58","C","サカゲイノデ","f",0,0,8,16,"-","-","Ⅰ","Ⅰ",0,0,0.04,0.104,0,0,1.78885438199983,4.38178046004133,""
"59","C","サンカヨウ","h",20,28,40,20,"Ⅰ","Ⅱ","Ⅱ","Ⅰ",0.1,0.14,0.152,0.06,4.47213595499958,6.26099033699941,8.94427190999916,4.47213595499958,"*"
"60","C","シノブカグマ","f",20,40,44,44,"Ⅰ","Ⅱ","Ⅲ","Ⅲ",0.32,0.24,0.32,0.148,8,9.79795897113271,11.8659175793531,10.2761860629321,"*"
"61","C","シモツケソウ","h",8,4,4,0,"Ⅰ","Ⅰ","Ⅰ","-",0.14,0.08,0.02,0,3.3466401061363,1.78885438199983,0.894427190999916,0,""
"62","C","ショウジョウバカマ","h",64,68,68,68,"Ⅳ","Ⅳ","Ⅳ","Ⅳ",0.94,0.92,0.276,0.204,24.5275355468094,25.0119971213816,15.2052622469986,15.6460857724864,"*"
"63","C","シラネセンキュウ","h",0,0,8,4,"-","-","Ⅰ","Ⅰ",0,0,0.044,0.008,0,0,2.19089023002066,0.894427190999916,""
"64","C","シラネニンジン","h",0,0,0,12,"-","-","-","Ⅰ",0,0,0,0.064,0,0,0,3.09838667696593,""
"65","C","シラネワラビ","f",48,52,64,60,"Ⅲ","Ⅲ","Ⅳ","Ⅲ",1.1,1.34,1.24,1.532,22.9782505861521,23.4776489453267,25.7992247945554,28.3548937575157,"*"
"66","C","スギナ","f",0,0,8,8,"-","-","Ⅰ","Ⅰ",0,0,0.008,0.008,0,0,1.78885438199983,1.78885438199983,""
"67","C","セイヨウタンポポ","h",4,0,0,0,"Ⅰ","-","-","-",0.08,0,0,0,1.78885438199983,0,0,0,""
"68","C","タケシマラン","h",0,16,20,24,"-","Ⅰ","Ⅰ","Ⅱ",0,0.24,0.12,0.032,0,6.19677335393187,4.89897948556636,5.3665631459995,""
"69","C","タテヤマアザミ","h",16,32,20,12,"Ⅰ","Ⅱ","Ⅰ","Ⅰ",0.6,2.22,1.16,0.46,9.79795897113271,18.0665436650179,12.6491106406735,6.57267069006199,"*"
"70","C","タテヤマオウギ","h",12,0,0,0,"Ⅰ","-","-","-",0.32,0,0,0,6.19677335393187,0,0,0,""
"71","C","タニギキョウ","h",4,8,0,8,"Ⅰ","Ⅰ","-","Ⅰ",0.02,0.08,0,0.04,0.894427190999916,2.5298221281347,0,1.78885438199983,""
"72","C","チゴユリ","h",100,0,40,44,"Ⅴ","-","Ⅱ","Ⅲ",1.24,0,0.184,0.08,35.213633723318,0,8.94427190999916,9.83869910099907,""
"73","C","ツクバネソウ","h",36,32,40,40,"Ⅱ","Ⅱ","Ⅱ","Ⅱ",0.22,0.2,0.088,0.056,8.89943818451479,8,8.94427190999916,8.94427190999916,"*"
"74","C","ツマトリソウ","h",24,20,32,40,"Ⅱ","Ⅰ","Ⅱ","Ⅱ",0.12,0.1,0.096,0.052,5.3665631459995,4.47213595499958,7.15541752799933,8.94427190999916,"*"
"75","C","ツルリンドウ","h",56,44,44,48,"Ⅲ","Ⅲ","Ⅲ","Ⅲ",0.58,0.48,0.176,0.056,18.0222085217101,14.532721699668,9.83869910099907,10.733126291999,"*"
"76","C","テガタチドリ","h",0,0,4,4,"-","-","Ⅰ","Ⅰ",0,0,0.004,0.004,0,0,0.894427190999916,0.894427190999916,""
"77","C","ノコンギク","h",16,0,0,0,"Ⅰ","-","-","-",0.64,0,0,0,10.1192885125388,0,0,0,""
"78","C","ハクモウイノデ","f",8,0,0,0,"Ⅰ","-","-","-",0.1,0,0,0,2.82842712474619,0,0,0,""
"79","C","ヒゲノガリヤス","h",12,8,8,4,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.2,0.2,0.024,0.04,4.89897948556636,4,1.78885438199983,1.26491106406735,"*"
"80","C","ヒメゴヨウイチゴ","ds",44,44,60,56,"Ⅲ","Ⅲ","Ⅲ","Ⅲ",1.58,2.04,0.684,0.596,26.3666455962832,24.0997925302273,20.4939015319192,19.5140974682407,"*"
"81","C","ヒメタケシマラン","h",0,72,72,68,"-","Ⅳ","Ⅳ","Ⅳ",0,0.72,0.316,0.148,0,22.7683991532123,16.5408585025083,15.2052622469986,""
"82","C","ヒメノガリヤス","h",4,4,12,4,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.08,0.08,0.204,0.004,1.78885438199983,1.78885438199983,4.38178046004133,0.894427190999916,"*"
"83","C","ヒメワラビ","f",0,0,4,0,"-","-","Ⅰ","-",0,0,0.04,0,0,0,1.26491106406735,0,""
"84","C","ヒロハユキザサ","h",0,32,48,36,"-","Ⅱ","Ⅲ","Ⅱ",0,0.18,0.252,0.16,0,7.58946638440411,12,8.48528137423857,""
"85","C","フキ","h",20,24,24,24,"Ⅰ","Ⅱ","Ⅱ","Ⅱ",0.62,1.42,0.764,1.2,11.13552872566,14.6969384566991,12.5857061780418,13.5055544129073,"*"
"86","C","ホソバトウゲシバ","f",0,4,0,0,"-","Ⅰ","-","-",0,0.02,0,0,0,0.894427190999916,0,0,""
"87","C","マイヅルソウ","h",68,48,64,76,"Ⅳ","Ⅲ","Ⅳ","Ⅳ",1.02,0.64,0.344,0.336,26.3362867542104,17.5271218401653,16.7809415707224,19.8796378236627,"*"
"88","C","マルバダケブキ","h",0,0,0,8,"-","-","-","Ⅰ",0,0,0,0.06,0,0,0,2.19089023002066,""
"89","C","ミズバショウ","h",60,64,68,76,"Ⅲ","Ⅳ","Ⅳ","Ⅳ",1.78,3.38,3.144,3.088,32.6802692767364,35.2363448728724,35.3723055510946,38.3979166101496,"*"
"90","C","ミツバオウレン","h",28,36,44,40,"Ⅱ","Ⅱ","Ⅲ","Ⅱ",0.22,0.2,0.14,0.044,7.84856674813943,8.48528137423857,9.83869910099907,8.94427190999916,"*"
"91","C","ミヤマアキノキリンソウ","h",28,0,24,12,"Ⅱ","-","Ⅱ","Ⅰ",0.32,0,0.056,0.012,9.46572765295939,0,5.3665631459995,2.68328157299975,""
"92","C","ミヤマイタチシダ","f",0,0,8,12,"-","-","Ⅰ","Ⅰ",0,0,0.04,0.064,0,0,1.78885438199983,3.09838667696593,""
"93","C","ミヤマカタバミ","h",0,0,8,4,"-","-","Ⅰ","Ⅰ",0,0,0.04,0.02,0,0,1.78885438199983,0.894427190999916,""
"94","C","ミヤマカンスゲ","h",100,96,100,96,"Ⅴ","Ⅴ","Ⅴ","Ⅴ",5.52,17.32,13.32,13.56,74.2967024840268,69.5586083817093,68.7022561492707,66.1634340100331,"*"
"95","C","ミヤマシシウド","h",12,12,20,32,"Ⅰ","Ⅰ","Ⅰ","Ⅱ",0.12,0.36,0.48,1.22,3.79473319220206,4.89897948556636,8.48528137423857,16.1987653850533,"*"
"96","C","ミヤマシシガシラ","f",0,0,0,4,"-","-","-","Ⅰ",0,0,0,0.004,0,0,0,0.894427190999916,""
"97","C","ミヤマセンキュウ","h",0,0,4,4,"-","-","Ⅰ","Ⅰ",0,0,0.004,0.004,0,0,0.894427190999916,0.894427190999916,""
"98","C","ミヤマベニシダ","f",0,0,8,12,"-","-","Ⅰ","Ⅰ",0,0,0.024,0.036,0,0,1.78885438199983,2.68328157299975,""
"99","C","ミヤマメシダ","f",0,24,24,20,"-","Ⅱ","Ⅱ","Ⅰ",0,0.38,0.5,0.32,0,9.54986910905066,10.507140429251,8,""
"100","C","ミヤマワラビ","f",20,36,32,24,"Ⅰ","Ⅱ","Ⅱ","Ⅱ",0.16,0.26,0.208,0.092,5.65685424949238,9.67470929795826,8.76356092008266,5.79655069847578,"*"
"101","C","メシダ","f",20,0,0,0,"Ⅰ","-","-","-",0.24,0,0,0,6.92820323027551,0,0,0,""
"102","C","モミジカラマツ","h",4,16,12,12,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.2,0.4,0.444,0.438,2.82842712474619,6.19677335393187,5.58569601750758,5.3665631459995,"*"
"103","C","ヤグルマソウ","h",0,12,12,12,"-","Ⅰ","Ⅰ","Ⅰ",0,0.12,0.124,0.12,0,3.79473319220206,4.09878030638384,3.79473319220206,""
"104","C","ヤマイヌワラビ","f",0,0,4,4,"-","-","Ⅰ","Ⅰ",0,0,0.04,0.02,0,0,1.26491106406735,0.894427190999916,""
"105","C","ヤマソテツ","f",56,72,84,84,"Ⅲ","Ⅳ","Ⅴ","Ⅴ",2.04,2.64,2.08,1.784,33.7994082788442,38.3249266144111,38.4499674902333,36.6606055596467,"*"
"106","C","ヤマドリゼンマイ","f",20,16,28,44,"Ⅰ","Ⅰ","Ⅱ","Ⅲ",0.24,0.12,0.26,0.316,6.92820323027551,4.38178046004133,8.53229160308062,12.5857061780418,"*"
"107","C","ヤマハハコ","h",8,8,0,4,"Ⅰ","Ⅰ","-","Ⅰ",0.04,0.04,0,0.02,1.78885438199983,1.78885438199983,0,0.894427190999916,""
"108","C","ヤマブキショウマ","h",16,28,28,12,"Ⅰ","Ⅱ","Ⅱ","Ⅰ",0.08,0.3,0.184,0.088,3.57770876399966,8.53229160308062,7.48331477354788,3.09838667696593,"*"
"109","C","ユキザサ","h",32,0,12,12,"Ⅱ","-","Ⅰ","Ⅰ",0.18,0,0.012,0.104,7.58946638440411,0,2.68328157299975,3.79473319220206,""
"110","C","ヨツバヒヨドリ","h",8,8,4,0,"Ⅰ","Ⅰ","Ⅰ","-",0.14,0.1,0.08,0,3.3466401061363,2.82842712474619,1.78885438199983,0,""
"111","C","ヨモギ","h",20,20,4,20,"Ⅰ","Ⅰ","Ⅰ","Ⅰ",0.8,0.96,0.004,0.56,12.6491106406735,12.328828005938,0.894427190999916,10.1980390271856,"*"
"112","S","チシマザサ","sasa",100,92,100,100,"Ⅴ","Ⅴ","Ⅴ","Ⅴ",9,85,86.2,81.32,94.8683298050514,88.3266664150754,94.0212741883453,93.38094023943,"*"
