"","form","sp","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","Mean","Frequency","FreqCode","DominatIndex"
"28","f","オオバショリマ",0,0.5,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0,0.5,0.46,0.846153846153846,"Ⅴ",19.7289322881592
"93","f","オシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"70","f","サカゲイノデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0.5,0.5,0.24,0.230769230769231,"Ⅱ",7.44208407535251
"13","f","シノブカグマ",0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0.28,0.576923076923077,"Ⅲ",12.7097781860449
"37","f","シラネワラビ",0,0,0,0,0.5,0,0.5,0,0.5,0,0,3,3,0.5,4,1,4,4,3,2,1,2,0.5,0,0.5,1.2,0.653846153846154,"Ⅳ",28.0109868554356
"108","f","スギナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"45","f","ゼンマイ",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"80","f","ハクモウイノデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"64","f","ヒメワラビ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.06,0.153846153846154,"Ⅰ",3.038218101251
"55","f","ホソバトウゲシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"82","f","ミヤマイタチシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"52","f","ミヤマシシガシラ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0769230769230769,"Ⅰ",1.75411603861406
"74","f","ミヤマベニシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"66","f","ミヤマメシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0.06,0.153846153846154,"Ⅰ",3.038218101251
"34","f","ミヤマワラビ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,1,0,3,0.5,0.5,0.3,0.346153846153846,"Ⅱ",10.1904933073014
"75","f","メシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"53","f","ヤマイヌワラビ",0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0,1,0,0.5,0.5,0.5,1,1,0.5,0,0,0.28,0.461538461538462,"Ⅲ",11.3679712011761
"24","f","ヤマソテツ",3,0.5,1,3,3,1,1,1,2,4,0.5,0.5,0.5,2,3,1,0.5,0.5,0.5,0.5,0,0.5,0,0,0,1.18,0.846153846153846,"Ⅴ",31.5984420258585
"35","f","ヤマドリゼンマイ",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0.5,3,0.5,0.5,1,0,0,0,0,0.38,0.346153846153846,"Ⅱ",11.4690218213439
"109","h","アイイタドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"86","h","アカショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"110","h","アキカラマツ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"87","h","イグサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"88","h","イタドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,4,2,0.3,0.192307692307692,"Ⅰ",7.5955452531275
"90","h","イブキコゴメグサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"102","h","イワオウギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"9","h","イワカガミ",0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.28,0.538461538461538,"Ⅲ",12.2788122702984
"107","h","ウラジロタデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"43","h","エンレイソウ",0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.38,0.769230769230769,"Ⅳ",17.0970082853022
"91","h","オオイタドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,5,4,1.04,0.230769230769231,"Ⅱ",15.4919333848297
"103","h","オオバコ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"50","h","オオバタケシマラン",0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0.12,0.269230769230769,"Ⅱ",5.68398560058805
"92","h","オオハナウド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0.5,0.22,0.192307692307692,"Ⅰ",6.50443635587991
"56","h","オオバノヨツバムグラ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.08,0.192307692307692,"Ⅰ",3.92232270276368
"104","h","オニシモツケ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.5,0,0.26,0.153846153846154,"Ⅰ",6.32455532033676
"68","h","カニコウモリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"94","h","キオン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"11","h","キソチドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"60","h","キヌガサソウ",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"95","h","クロトウヒレン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"105","h","コウゾリナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"12","h","ゴゼンタチバナ",2,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0,0.5,0.44,0.730769230769231,"Ⅳ",17.9314935668633
"36","h","コバイケイソウ",0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.06,0.153846153846154,"Ⅰ",3.038218101251
"69","h","ゴマナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,3,2,0.5,0.26,0.230769230769231,"Ⅱ",7.74596669241483
"57","h","コミヤマカタバミ",0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0.5,0,2,2,4,3,0.5,0,4,1,4,1,0.96,0.538461538461538,"Ⅲ",22.7359424023522
"83","h","コメススキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"30","h","サンカヨウ",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,0.5,0,1,0.5,0,0,0.18,0.307692307692308,"Ⅱ",7.44208407535251
"106","h","シモツケソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"14","h","ショウジョウバカマ",0.5,0.5,0.5,1,0.5,1,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0.48,0.769230769230769,"Ⅳ",19.2153784566105
"71","h","シラネセンキュウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"96","h","シラネニンジン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"111","h","セイヨウタンポポ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"15","h","タケシマラン",0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,1,0.5,1,0.5,0.5,0,0.5,0.5,0,0.5,0.54,0.884615384615385,"Ⅴ",21.8561732170183
"72","h","タテヤマアザミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.5,0.12,0.230769230769231,"Ⅱ",5.26234811584217
"54","h","タニギキョウ",0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.06,0.153846153846154,"Ⅰ",3.038218101251
"16","h","チゴユリ",0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.22,0.461538461538462,"Ⅲ",10.0766294731156
"44","h","ツクバネソウ",0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,2,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.26,0.423076923076923,"Ⅲ",10.4880884817015
"17","h","ツマトリソウ",0,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0.16,0.346153846153846,"Ⅱ",7.44208407535251
"18","h","ツルリンドウ",0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.24,0.5,"Ⅲ",10.9544511501033
"112","h","テガタチドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"97","h","ノコンギク",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"98","h","ヒゲノガリヤス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,1,0,0.44,0.192307692307692,"Ⅰ",9.198662110078
"19","h","ヒメタケシマラン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"31","h","ヒメノガリヤス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.08,0.0769230769230769,"Ⅰ",2.48069469178417
"39","h","ヒロハユキザサ",0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0,2,0.5,0.5,0.32,0.538461538461538,"Ⅲ",13.1266024662779
"58","h","フキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0.5,2,0.34,0.230769230769231,"Ⅱ",8.8578517972214
"20","h","マイヅルソウ",0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0,2,0.44,0.730769230769231,"Ⅳ",17.9314935668633
"99","h","マルバダケブキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"21","h","ミズバショウ",5,0,5,4,4,4,0.5,3,4,2,3,0.5,3,2,2,1,0.5,2,1,0,1,0,0,0.5,0,1.92,0.807692307692308,"Ⅴ",39.3798073988336
"22","h","ミツバオウレン",0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.307692307692308,"Ⅱ",6.56330123313894
"32","h","ミヤマアキノキリンソウ",0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0.2,0.384615384615385,"Ⅱ",8.77058019307029
"51","h","ミヤマカタバミ",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,1,0.2,0.192307692307692,"Ⅰ",6.20173672946042
"23","h","ミヤマカンスゲ",3,4,5,5,6,4,2,6,5,6,0.5,2,2,4,5,4,4,4,4,2,5,4,4,4,6,4.02,1,"Ⅴ",63.4034699365894
"73","h","ミヤマシシウド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,3,3,4,4,4,0.76,0.307692307692308,"Ⅱ",15.2920290951251
"33","h","ミヤマセンキュウ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0.08,0.192307692307692,"Ⅰ",3.92232270276368
"59","h","モミジカラマツ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0.5,0,0,0.12,0.153846153846154,"Ⅰ",4.2966892442366
"76","h","ヤグルマソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,1,0,2,3,0,0.28,0.230769230769231,"Ⅱ",8.038369524685
"67","h","ヤマトユキザサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"100","h","ヤマハハコ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0.08,0.153846153846154,"Ⅰ",3.50823207722812
"40","h","ヤマブキショウマ",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,1,0.5,1,0.5,0.22,0.384615384615385,"Ⅱ",9.198662110078
"41","h","ユキザサ",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"113","h","ヨツバヒヨドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"101","h","ヨモギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,2,1,0.64,0.230769230769231,"Ⅱ",12.152872405004
"25","sasa","チシマザサ",9,9,9,9,8,8,8,9,8,9,8,9,9,9,9,9,9,8,9,9,7,7,7,8,6,8.36,1,"Ⅴ",91.4330356052997
