"","form","sp","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","Mean","Frequency","FreqCode","DominatIndex"
"5","bs","オオカメノキ",2,5,6,0.5,5,6,6,3,4,5,4,4,5,5,4,5,5,5,4,4,5,5,4,4,4,4.38,1,"Ⅴ",66.1815684310972
"6","bs","オオバクロモジ",3,5,0.5,0.5,3,2,4,3,2,1,4,4,4,4,3,1,3,4,2,1,2,2,3,0.5,1,2.5,1,"Ⅴ",50
"63","bs","クサアジサイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"36","bs","クロウスゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"8","bs","コマユミ",0,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,0.22,0.461538461538462,"Ⅲ",10.0766294731156
"9","bs","サワフタギ",1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,2,0,0,3,3,5,0.8,0.346153846153846,"Ⅱ",16.6410058867569
"68","bs","スノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"56","bs","タニウツギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"10","bs","タムシバ",1,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0.192307692307692,"Ⅰ",4.38529009653515
"11","bs","ツノハシバミ",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,2,0,0,0.5,0.16,0.192307692307692,"Ⅰ",5.54700196225229
"12","bs","ツリバナ",0,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.22,0.461538461538462,"Ⅲ",10.0766294731156
"37","bs","ナナカマド",0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,2,0.5,1,0,0.5,0,0.26,0.384615384615385,"Ⅱ",10
"14","bs","ノリウツギ",0.5,0,0,0,2,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,1,0.5,0,0,1,0.5,0,0,0.32,0.461538461538462,"Ⅲ",12.152872405004
"16","bs","ヒメアオキ",4,3,0,0.5,0,3,3,0,0,0.5,2,2,0,4,0.5,0.5,1,1,1,3,2,2,0.5,0.5,1,1.4,0.807692307692308,"Ⅴ",33.6269122990683
"39","bs","マユミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"76","bs","ヤマアジサイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"20","bs","ヤマウルシ",2,0,0,0.5,1,1,0.5,0.5,0,0,0.5,1,2,0.5,0,0.5,0.5,1,0,0,0,0.5,0.5,1,0,0.54,0.653846153846154,"Ⅳ",18.7903412176821
"15","cs","ハイイヌガヤ",0.5,0.5,0,0,0,0.5,0.5,0.5,0,0.5,3,0.5,0,0.5,0,1,0.5,0,0,0.5,1,0.5,0.5,0.5,1,0.5,0.692307692307692,"Ⅳ",18.6052101883813
"79","ds","イボタノキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"44","ds","サワダツ",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"47","ds","ハイイヌツゲ",0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0.5,1,0,0,0,1,0,0,0,0.5,0.22,0.269230769230769,"Ⅱ",7.69615288509585
"29","ds","ヒメモチ",0.5,1,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,1,3,0.5,0.5,1,1,1,0.5,0.5,2,0.5,1,0.5,0.72,0.884615384615385,"Ⅴ",25.2373349806012
"77","ds","ミヤマイボタ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"52","ds","ミヤマシキミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"43","f","オシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,2,0,0.14,0.153846153846154,"Ⅰ",4.64095480892257
"73","f","サカゲイノデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"22","f","シノブカグマ",0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"72","f","ジュウモンジシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"23","f","シラネワラビ",6,6,5,4,6,6,5,6,6,5,4,4,4,3,5,5,5,6,5,6,4,6,6,6,6,5.2,1,"Ⅴ",72.1110255092798
"49","f","ホソバナライシダ",0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.16,0.346153846153846,"Ⅱ",7.44208407535251
"60","f","ミヤマイタチシダ",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"82","f","ミヤマワラビ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"53","f","ヤマイヌワラビ",0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0.12,0.269230769230769,"Ⅱ",5.68398560058805
"32","f","ヤマソテツ",3,1,0.5,4,4,3,1,0.5,0.5,3,3,3,3,4,3,4,1,2,1,3,4,4,1,3,3,2.5,1,"Ⅴ",50
"61","f","ヤマドリゼンマイ",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.14,0.115384615384615,"Ⅰ",4.0191847623425
"66","f","リョウメンシダ",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"78","h","アカミノルイヨウショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"40","h","イワカガミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"65","h","ウド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"41","h","ウメガサソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"42","h","エンレイソウ",0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0.14,0.307692307692308,"Ⅱ",6.56330123313894
"69","h","オオバタケシマラン",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"70","h","カメバヒキオコシ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0.1,0.115384615384615,"Ⅰ",3.39683110243379
"57","h","ギンリョウソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"84","h","クルマバソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"85","h","クルマバハグマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"21","h","コカンスゲ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"74","h","サラシナショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"62","h","サンカヨウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"71","h","シラネアオイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"81","h","スミレサイシン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"24","h","タケシマラン",0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.230769230769231,"Ⅱ",4.80384461415261
"45","h","タチシオデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0.08,0.192307692307692,"Ⅰ",3.92232270276368
"46","h","タニギキョウ",0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0.14,0.307692307692308,"Ⅱ",6.56330123313894
"25","h","チゴユリ",0,0.5,0.5,0,1,0.5,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0.28,0.538461538461538,"Ⅲ",12.2788122702984
"50","h","ツクバネソウ",0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0.1,0.230769230769231,"Ⅱ",4.80384461415261
"26","h","ツルアリドオシ",0.5,0.5,1,0,0,5,1,0.5,0,0,0.5,2,2,0,0.5,1,0,0.5,0,0,0,0,0,0,0,0.6,0.5,"Ⅲ",17.3205080756888
"27","h","ツルリンドウ",0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.1,0.230769230769231,"Ⅱ",4.80384461415261
"75","h","テンニンソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.5,0,0,0,0,0.18,0.115384615384615,"Ⅰ",4.5573271518765
"58","h","トチバニンジン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"28","h","ヒメカンアオイ",0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.115384615384615,"Ⅰ",4.2966892442366
"80","h","ヒロバスゲ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"59","h","ヒロハユキザサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"48","h","ホウチャクソウ",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"51","h","マイヅルソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"30","h","ミヤマウズラ",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.08,0.192307692307692,"Ⅰ",3.92232270276368
"31","h","ミヤマカンスゲ",5,4,4,4,4,5,4,4,4,5,6,5,4,4,4,5,4,1,3,4,4,0.5,1,1,4,3.74,1,"Ⅴ",61.1555394056826
"33","h","ヤマトユキザサ",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"34","h","ユキザサ",0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.4,0.807692307692308,"Ⅴ",17.9743406854583
"35","sasa","チシマザサ",6,6,6,6,4,7,6,5,5,5,6,5,4,5,4,4,5,5,4,5,4,5,4,5,5,5.04,1,"Ⅴ",70.9929573971954
