サブプロット,階層,種名,DK1999,被度2006,被度2012,被度2018,,memo,,DK2006
4,B2,オオバスノキ,3,3,1,4,,,,3
4,B2,オガラバナ,2,2,,,,,,2
4,B2,クロウスゴ,1,1,,0.2,,,,1
4,B2,ダケカンバ,2,0,,,,,,0
4,B2,ナナカマド,0,2,,1,,,,2
4,B2,ミネカエデ,4,6,0.5,0.5,,,,4
4,B2,オオカメノキ,,,0.5,0.2,,,,
4,B2,ミヤマホツツジ,,,0.5,,,,,
4,C,コイワカガミ,0.5,0,0.5,0.2,,,,0
4,C,ゴゼンタチバナ,0,2,0.5,0.5,,,,2
4,C,シノブカグマ,0.5,0,,,,,,0
4,C,ショウジョウバカマ,0.5,1,0.5,0.5,,,,1
4,C,ツクバネソウ,0,0.5,0.5,0.1,,,,0.5
4,C,ツルリンドウ,0.5,0,,,,,,0
4,C,ヒメタケシマラン,0,2,0.5,0.2,,,,2
4,C,ミズバショウ,4,5,3,3,,,,4
4,C,ミツバオウレン,0,0.5,0.5,0.1,,,,0.5
4,C,ミヤマカンスゲ,5,18,13,14,,,,5
4,C,ヤマソテツ,0,5,1,,,,,4
4,C,ゴゼンタチバナ,2,0,0.5,,,,,0
4,C,チゴユリ,1,0,0.5,,,,,0
4,C,ヤマソテツ,3,0,1,3,,,,0
4,C,サンカヨウ,,,0.5,,,,,
4,C,イワナシ,,,0.5,0.1,,,,
4,C,マイヅルソウ,,,0.5,0.1,,,,
4,C,オオバショリマ,,,0.5,0.3,,,,
4,S,チシマザサ,9,100,95,95,,,,10
,,ヒメウスノキ,,,,0.2,,,,
5,B2,オオカメノキ,2,2,0.5,0.5,,,,2
5,B2,オオシラビソ,3,0,0.5,2,,,,0
5,B2,オオバスノキ,3,3,0.5,4,,,,3
5,B2,ナナカマド,0.5,0.5,0.5,0.5,,,,0.5
5,B2,ミネカエデ,5,20,2,5,,,,6
5,C,イワナシ,0,0.5,,0.1,,,,0.5
5,C,エンレイソウ,0,0.5,,,,,,0.5
5,C,コイワカガミ,0,0.5,0.5,0.3,,,,0.5
5,C,ゴゼンタチバナ,0,3,0.5,0.2,,,,3
5,C,シノブカグマ,0,0.5,,0.1,,,,0.5
5,C,ショウジョウバカマ,2,2,0.5,0.2,,,,2
5,C,シラネワラビ,1,1,0.5,,,photo,,1
5,C,ツルリンドウ,2,2,0.5,0.1,,,,2
5,C,ヒメタケシマラン,0,0.5,0.5,0.1,,12:46,,0.5
5,C,ヒロハユキザサ,0,0.5,0.5,0.2,,,,0.5
5,C,マイヅルソウ,3,3,0.5,0.1,,,,3
5,C,ミズバショウ,1,5,10,5,,,,4
5,C,ミヤマカンスゲ,6,18,30,30,,,,5
5,C,ヤマソテツ,0,5,1,4,,,,4
5,C,ヤマドリゼンマイ,3,0.5,0.5,0.3,,,,0.5
5,C,キソチドリ,0.5,0,,,,,,0
5,C,ゴゼンタチバナ,2,0,0.5,,,,,0
5,C,チゴユリ,2,0,0.5,,,,,0
5,C,ヤマソテツ,4,0,0.5,,,,,0
5,C,ツクバネソウ,,,0.5,,,,,
5,C,ミツバオウレン,,,0.5,0.1,,,,
5,C,ヒメウスノキ,,,0.5,0.2,,,,
5,S,チシマザサ,9,100,80,85,,,,10
,,オガラバナ,,,,0.2,,,,
,,ミヤマワラビ,,,,0.1,,,,
6,B2,オオシラビソ,4,5,3,5,,,,4
6,B2,オオバスノキ,3,6,12,9,,,,4
6,B2,クロウスゴ,2,2,2,1,,,,2
6,B2,ナナカマド,0,5,4,4,,,,4
6,B2,ヒメウスノキ,0,0.5,5,0.5,,,,0.5
6,B2,ミネカエデ,5,5,6,4,,,,4
6,B2,ミヤマハンノキ,0,0.5,1,1,,,,0.5
6,C,イワナシ,0.5,0.5,0.1,0.1,,,,0.5
6,C,エンレイソウ,0,0.5,,,,,,0.5
6,C,コイワカガミ,2,1,0.5,0.2,,,,1
6,C,ゴゼンタチバナ,0,2,0.5,0.5,,,,2
6,C,サンカヨウ,0,0.5,,,,,,0.5
6,C,シノブカグマ,0,0.5,0.5,0.2,,,,0.5
6,C,ショウジョウバカマ,4,2,0.5,0.2,,,,2
6,C,シラネワラビ,0,0.5,0.5,0.1,,,,0.5
6,C,ツルリンドウ,0,0.5,,0.1,,,,0.5
6,C,ヒメタケシマラン,0,1,0.5,0.1,,,,1
6,C,マイヅルソウ,1,0,0.1,,,,,0
6,C,ミズバショウ,6,30,18,15,,,,6
6,C,ミツバオウレン,1,0.5,0.1,0.1,,,,0.5
6,C,ミヤマカンスゲ,6,20,15,10,,,,6
6,C,ヤマソテツ,0,5,2,2,,,,4
6,C,ゴゼンタチバナ,2,0,,,,,,0
6,C,チゴユリ,1,0,,0.1,,,,0
6,C,ヤマソテツ,4,0,,,,,,0
6,C,ヒロハユキザサ,,,0.1,,,,,
6,S,チシマザサ,9,100,95,95,,,,10
,B2,コメツガ,,,,1,,,,
,,ツマトリソウ,,,,0.1,,,,
7,B2,オオシラビソ,6,20,2,3,,,,6
7,B2,オオバスノキ,0.5,1,0.6,1.5,,,,1
7,B2,オガラバナ,4,4,5,,,,,3
7,B2,クロウスゴ,0.5,1,1,1,,,,1
7,B2,ナナカマド,2,5,1,3,,,,4
7,B2,ミネカエデ,0,4,3,2,,,,3
7,B2,ミヤマハンノキ,4,5,,,,,,4
7,C,エンレイソウ,0.5,0.5,0.5,,,,,0.5
7,C,オオバタケシマラン,0.5,0.5,0.5,0.1,,,,0.5
7,C,コイワカガミ,1,2,0.2,0.3,,,,2
7,C,ゴゼンタチバナ,0,1,1,0.5,,,,1
7,C,ショウジョウバカマ,2,2,0.1,0.5,,,,2
7,C,ヒメタケシマラン,0,1,0.5,0.1,,,,1
7,C,マイヅルソウ,0.5,0.5,1,0.1,,,,0.5
7,C,ミズバショウ,0,0.5,0.5,0.5,,,,0.5
7,C,ミヤマカンスゲ,5,0,5,4,,,,0
7,C,ヤマソテツ,0,4,2,2,,,,3
7,C,ゴゼンタチバナ,1,0,0.5,,,,,0
7,C,チゴユリ,1,0,,,,,,0
7,C,ヤマソテツ,3,0,2,,,,,0
7,C,ミヤマカタバミ,,,0.5,,,15:19,,
7,C,オオバショリマ,,,0.5,1,,15:20,,
7,C,ミヤマアキノキリンソウ,,,0.5,,,,,
7,C,ミツバオウレン,,,0.5,0.1,,,,
7,C,ヒメゴヨウイチゴ,,,0.5,,,14:41,,
7,C,ツルリンドウ,,,0.5,0.1,,,,
7,C,オオバショリマ,,,0.1,,,,,
7,C,クロツリバナ,,,0.1,,,15:07,,
7,S,チシマザサ,10,100,95,95,,,,10
,,ミヤマシシガシラ,,,,0.1,,,,
,,オオカメノキ,,,,1,,,,
,,シノブカグマ,,,,0.1,,,,
,,ハリブキ,,,,0.1,,,,
8,B2,オオカメノキ,3,4,2,2,,,,3
8,B2,オオシラビソ,3,2,0.5,0.5,,,,2
8,B2,オオバスノキ,3,6,1,5,,,,4
8,B2,クロウスゴ,1,0,0.5,0.5,,,,0
8,B2,クロツリバナ,2,1,,,,,,1
8,B2,ダケカンバ,0,1,,,,,,1
8,B2,ナナカマド,0,0.5,0.5,1,,,,0.5
8,B2,ハリブキ,0.5,0.5,,0.1,,,,0.5
8,B2,ヒメウスノキ,0,0.5,0.5,0.2,,,,0.5
8,B2,ミネカエデ,5,20,,1,,,,6
8,C,イワナシ,0.5,0.5,0.5,0.2,,,,0.5
8,C,エンレイソウ,0.5,0.5,0.5,,,,,0.5
8,C,コイワカガミ,1,1,0.5,0.3,,,,1
8,C,ゴゼンタチバナ,0,3,2,1.5,,,,3
8,C,シノブカグマ,0,0.5,,,,,,0.5
8,C,ショウジョウバカマ,0,1,0.5,0.1,,,,1
8,C,タケシマラン,0,2,0.5,0.1,,,,2
8,C,ツマトリソウ,0.5,0.5,0.5,0.1,,,,0.5
8,C,ツルリンドウ,0.5,0.5,0.5,0.2,,,,0.5
8,C,ヒロハユキザサ,0,0.5,0.5,0.5,,,,0.5
8,C,マイヅルソウ,1,0.5,,0.1,,,,0.5
8,C,ミズバショウ,4,4,6,4,,,,3
8,C,ミヤマカンスゲ,5,18,18,20,,,,5
8,C,ヤマソテツ,0,3,4,5,,,,3
8,C,ゴゼンタチバナ,3,0,1,,,,,0
8,C,チゴユリ,2,0,0.5,0.1,,,,0
8,C,ヤマソテツ,3,0,1,,,,,0
8,C,ユキザサ,0.5,0,0.1,,,,,0
8,C,オオバショリマ,,,,,,,,0.5
8,C,シラネワラビ,,,,,,,,0.5
8,S,チシマザサ,9,95,95,95,,,,9
9,B2,オオカメノキ,3,1,1,1,,,,1
9,B2,オオシラビソ,3,3,1,2,,,,3
9,B2,オオバスノキ,3,3,1,2,,,,3
9,B2,クロウスゴ,1,0,,0.1,,,,0
9,B2,ハリブキ,0.5,0,,,,,,0
9,B2,ミネカエデ,4,5,1,1,,,,4
9,B2,ヒメウスノキ,,,0.5,,,,,0.5
9,C,エンレイソウ,0,0.5,0.5,,,,,0.5
9,C,コイワカガミ,0.5,2,1,0.3,,,,2
9,C,ゴゼンタチバナ,0,3,0.5,0.5,,,,3
9,C,ショウジョウバカマ,0.5,1,0.5,0.2,,,,1
9,C,ツルリンドウ,2,1,0.5,0.1,,,,1
9,C,ヒメタケシマラン,0,0.5,0.5,0.2,,,,0.5
9,C,ホソバトウゲシバ,0,0.5,,,,,,0.5
9,C,マイヅルソウ,2,2,0.5,0.1,,,,2
9,C,ミズバショウ,4,5,4,3,,,,4
9,C,ミツバオウレン,0.5,0.5,0.5,0.1,,,,0.5
9,C,ミヤマカンスゲ,6,15,18,20,,,,5
9,C,ヤマソテツ,0,3,2,.,,,,3
9,C,ゴゼンタチバナ,4,0,0.5,,,,,0
9,C,チゴユリ,1,0,0.5,0.1,,,,0
9,C,ヤマソテツ,3,0,1,,,,,0
9,C,ツクバネソウ,,,0.1,0.1,,,,
9,C,オオバショリマ,,,0.1,0.3,,,,
9,C,ツルリンドウ,,,0.1,0.1,,,,
9,C,シラネワラビ,,,0.5,0.3,,,,
9,C,イワナシ,,,0.5,0.1,,,,
9,S,チシマザサ,9,95,90,90,,,,9
,,ナナカマド,,,,0.1,,,,
10,B2,オオカメノキ,0.5,0,1,0.5,,,,0
10,B2,オオバスノキ,3,2,0.5,1,,,,2
10,B2,ミネカエデ,5,18,0.5,4,,,,5
10,C,イワナシ,1,0,,,,,,0
10,C,エンレイソウ,0.5,0.5,0.5,,,,,0.5
10,C,コイワカガミ,0.5,2,0.5,0.1,,,,2
10,C,ゴゼンタチバナ,0,5,0.5,0.5,,,,4
10,C,ショウジョウバカマ,1,1,0.5,0.2,,,,1
10,C,シラネワラビ,2,0,0.5,0.1,,13:11,,0
10,C,タケシマラン,0,1,0.5,0.2,,,,1
10,C,ツクバネソウ,0.5,0,0.5,0.1,,,,0
10,C,ツルリンドウ,2,2,0.5,0.1,,,,2
10,C,ヒメゴヨウイチゴ,2,0,0.5,0.1,,13:05,,0
10,C,ヒロハユキザサ,0,0.5,0.5,0.3,,,,0.5
10,C,マイヅルソウ,3,3,0.5,0.1,,,,3
10,C,ミズバショウ,0.5,2,1,1,,,,2
10,C,ミヤマカンスゲ,6,25,30,25,,,,6
10,C,ヤマソテツ,0,12,6,5,,,,5
10,C,ゴゼンタチバナ,4,0,0.5,,,,,0
10,C,チゴユリ,1,0,0.5,0.1,,,,0
10,C,ヤマソテツ,5,0,1,,,,,0
10,C,ユキザサ,0.5,0,,,,,,0
10,S,チシマザサ,9,95,90,85,,,,9
,,ダケカンバ,,,,2,,,,
,,オオシラビソ,,,,0.2,,,,
,,オオバショリマ,,,,0.2,,,,
11,B2,オオシラビソ,5,0,4,2.1,,,,0
11,B2,オオバスノキ,3,3,5,2,,,,3
11,B2,クロウスゴ,1,1,2,0.1,,,,1
11,B2,クロツリバナ,3,4,55,2,,,,3
11,B2,ヒメウスノキ,0,0.5,2,1.1,,,,0.5
11,B2,ミネカエデ,3,0,0.5,0.5,,,,0
11,C,イワナシ,1,0.5,,0.4,,,,0.5
11,C,エンレイソウ,0,0.5,,,,,,0.5
11,C,オオバタケシマラン,0,0.5,,0.3,,,,0.5
11,C,コイワカガミ,2,2,0.5,0.5,,,,2
11,C,ゴゼンタチバナ,0,4,4,1,,,,3
11,C,コバイケイソウ,0,1,,,,,,1
11,C,シノブカグマ,0,0.5,0.5,,,,,0.5
11,C,ショウジョウバカマ,2,2,0.5,0.1,,,,2
11,C,シラネワラビ,1,0,1,0.1,,,,0
11,C,タケシマラン,0,1,0.5,0.1,,,,1
11,C,ツクバネソウ,0.5,0.5,,,,,,0.5
11,C,ツマトリソウ,0,0.5,0.1,,,,,0.5
11,C,ツルリンドウ,0.5,0.5,,0.1,,,,0.5
11,C,マイヅルソウ,1,1,0.1,0.1,,,,1
11,C,ミズバショウ,2,5,1,3,,,,4
11,C,ミツバオウレン,2,1,0.1,0.1,,,,1
11,C,ミヤマカンスゲ,5,10,10,5,,,,5
11,C,モミジカラマツ,0,0.5,0.1,0.1,,,,0.5
11,C,ヤマソテツ,0,3,4,0.5,,,,3
11,C,ヤマドリゼンマイ,0,1,0.5,0.2,,,,1
11,C,チゴユリ,1,0,,0.2,,,,0
11,C,フキ,,,0.1,,,,,
11,C,オオバショリマ,,,0.5,0.3,,,,
11,C,ヒメゴヨウイチゴ,,,0.1,0.1,,,,
11,S,チシマザサ,9,95,95,60,,,,9
,,サンカヨウ,,,,0.1,,,,
,,コミヤマカタバミ,,,,0.3,,,,
,,ミヤマアキノキリンソウ,,,,0.1,,,,
,,オオバショリマ,,,,0.1,,,,
,,オオバノヨツバムグラ,,,,0.1,,,,
,,オガラバナ,,,,0.5,,,,
,,ナナカマド,,,,0.1,,,,
12,B2,オオシラビソ,3,5,1,1.5,,,,4
12,B2,オオバスノキ,0,3,2,1,,,,3
12,B2,オガラバナ,5,20,10,0.8,,,,6
12,B2,クロウスゴ,0,1,1,0.5,,,,1
12,B2,クロツリバナ,0,3,0.5,2,,,,3
12,B2,ダケカンバ,0,0.5,0.5,0.5,,,,0.5
12,B2,ナナカマド,5,8,2,1.8,,,,4
12,B2,ハリブキ,0.5,0.5,0.5,0.1,,,,0.5
12,B2,ミネカエデ,4,5,1,0.3,,,,4
12,C,エンレイソウ,0,0.5,0.1,0.6,,,,0.5
12,C,オオバショリマ,0,0.5,1,0.2,,,,0.5
12,C,コイワカガミ,0,0.5,0.1,,,,,0.5
12,C,ゴゼンタチバナ,0,0.5,0.1,0.1,,,,0.5
12,C,コミヤマカタバミ,3,0.5,1,2,,,,0.5
12,C,シノブカグマ,0,0.5,0.5,0.5,,,,0.5
12,C,ショウジョウバカマ,1,1,0.5,1,,,,1
12,C,シラネワラビ,2,1,2,3,,,,1
12,C,タケシマラン,0,2,1,0.2,,,,2
12,C,ヒメゴヨウイチゴ,0,0.5,1,0.2,,,,0.5
12,C,マイヅルソウ,0.5,0.5,0.5,0.1,,,,0.5
12,C,ミヤマカンスゲ,5,8,10,8,,,,4
12,C,ミヤマワラビ,0,0.5,,,,,,0.5
12,C,ヤマソテツ,0,2,0,,,,,2
12,C,チゴユリ,2,0,,,,,,0
12,C,ヤマソテツ,3,0,0.5,1,,,,0
12,C,ヒロハユキザサ,,,0.1,,,,,
12,C,サンカヨウ,,,0.1,,,,,
12,S,チシマザサ,9,95,90,90,,,,9
,,ヤマドリゼンマイ,,,,0.5,,,,
,,ダケカンバ,,,,1.1,,,,
,,イワナシ,,,,0.1,,,,
,,ムラサキヤシオツツジ,,,,0.1,,,,
,,ツマトリソウ,,,,0.2,,,,
,,ツクバネソウ,,,,0.2,,,,
,,キヌガサソウ,,,,0.1,,,,
,,オオカメノキ,,,,1,,,,
13,B2,ウラジロナナカマド,0,2,2,3,,,,2
13,B2,オオカメノキ,3,3,3,,,,,3
13,B2,オオシラビソ,4,4,2,0.7,,,,3
13,B2,オオバスノキ,1,2,4,1.1,,,,2
13,B2,オガラバナ,4,8,5,5,,,,4
13,B2,クロウスゴ,3,2,2,3,,,,2
13,B2,クロツリバナ,3,5,3,4,,,,4
13,B2,ダケカンバ,4,5,2,3,,,,4
13,B2,ナナカマド,0,3,8,,,,,3
13,B2,ハリブキ,0,0.5,,0.5,,,,0.5
13,B2,ミヤマハンノキ,0,2,,,,,,2
13,B2,ムラサキヤシオツツジ,0,0.5,,,,,,0.5
13,B2,タカネナナカマド,2,0,,,,,,0
13,B2,ミネカエデ,,,2,,,,,
13,B2,ヒメウスノキ,,,0.1,0.1,,,,
13,C,イヌワラビ,0,0.5,,,,,,0.5
13,C,イワナシ,1,1,1,,,,,1
13,C,オオバノヨツバムグラ,0,0.5,,,,,,0.5
13,C,エンレイソウ,0,0.5,0.1,,,,,0.5
13,C,オオバショリマ,0,1,0.5,0.5,,,,1
13,C,キヌガサソウ,2,2,0.5,1,,,,2
13,C,ゴゼンタチバナ,0,2,1,0.7,,,,2
13,C,コミヤマカタバミ,3,3,3,1.1,,,,3
13,C,シノブカグマ,2,1,0.5,,,,,1
13,C,ショウジョウバカマ,2,2,0.5,0.4,,,,2
13,C,シラネワラビ,4,6,5,5,,,,4
13,C,ツクバネソウ,0.5,0.5,0.1,,,,,0.5
13,C,ツマトリソウ,0.5,0.5,0.1,0.2,,,,0.5
13,C,ツルリンドウ,0.5,0,,,,,,0
13,C,ヒメゴヨウイチゴ,5,5,2,2,,,,4
13,C,ヒメタケシマラン,0,0.5,0.1,0.2,,,,0.5
13,C,ミズバショウ,4,4,5,6,,,,3
13,C,ミツバオウレン,0,0.5,0.1,,,,,0.5
13,C,ミヤマカンスゲ,6,15,15,9,,,,5
13,C,チゴユリ,1,0,,,,,,0
13,C,ミヤマアキノキリンソウ,0.5,0,0.1,,,,,0
13,C,ヤマソテツ,,,1,2.2,,,,
13,C,ヒメワラビ,,,1,,,,,
13,S,チシマザサ,9,95,80,85,,,,9
,,マイヅルソウ,,,,0.1,,,,
,,オオバタケシマラン,,,,1,,,,
14,B2,オオカメノキ,3,2,2,2.1,,,,2
14,B2,オオシラビソ,4,5,3,2,,,,4
14,B2,オオバスノキ,5,10,10,3.3,,,,5
14,B2,クロウスゴ,1,0,0.5,,,,,0
14,B2,ナナカマド,4,5,4,5,,,,4
14,B2,ハリブキ,0,0.5,,0.2,,,,0.5
14,B2,ヒメウスノキ,0,0.5,0.5,,,,,0.5
14,B2,ベニバナイチゴ,0,0.5,,,,,,0.5
14,B2,ミネカエデ,4,6,5,1.1,,,,4
14,C,イヌワラビ,0,0.5,,,,,,0.5
14,C,イワナシ,0,0.5,0.1,,,,,0.5
14,C,オオバノヨツバムグラ,0,1,,,,,,1
14,C,エンレイソウ,0,0.5,,,,,,0.5
14,C,オオバショリマ,0,0.5,0.5,0.5,,,,0.5
14,C,オオバユキザサ,0,0.5,0.1,,,,,0.5
14,C,コイワカガミ,0,0.5,0.5,,,,,0.5
14,C,コミヤマカタバミ,0,5,0.5,0.2,,,,4
14,C,サンカヨウ,0,0.5,0.1,,,,,0.5
14,C,シノブカグマ,2,0,1,,,,,0
14,C,ショウジョウバカマ,1,1,0.5,0.2,,,,1
14,C,シラネワラビ,0,0.5,0.5,0.1,,,,0.5
14,C,タニギキョウ,0,1,,,,,,1
14,C,ツクバネソウ,0,1,0.1,,,,,1
14,C,ツマトリソウ,0,0.5,0.1,,,,,0.5
14,C,ツルリンドウ,3,0,0.1,,,,,0
14,C,ヒメゴヨウイチゴ,0,1,0.5,0.1,,,,1
14,C,ヒメタケシマラン,0,1,0.1,0.1,,,,1
14,C,ミズバショウ,2,2,3,2,,,,2
14,C,ミツバオウレン,0.5,0.5,0.1,0.2,,,,0.5
14,C,ミヤマカンスゲ,6,30,20,7,,,,6
14,C,ミヤマメシダ,0,2,1,,,,,2
14,C,ミヤマワラビ,0,0.5,,,,,,0.5
14,C,モミジカラマツ,0,1,,,,,,1
14,C,ヤマソテツ,0,4,3,1.4,,,,3
14,C,ゴゼンタチバナ,4,0,0.5,0.1,,,,0
14,C,チゴユリ,0.5,0,,,,,,0
14,S,チシマザサ,9,95,95,83,,,,9
,,ミヤマアキノキリンソウ,,,,0.1,,,,
15,B2,オオカメノキ,0.5,0.5,0.1,0.1,,,,0.5
15,B2,オオシラビソ,3,0,2,1.1,,,,0
15,B2,オオバスノキ,0,6,3,0.2,,,,4
15,B2,クロウスゴ,1,0.5,0.1,0.3,,,,0.5
15,B2,クロツリバナ,0,1,,,,,,1
15,B2,ナナカマド,0.5,0.5,0.5,0.5,,,,0.5
15,B2,ヒメウスノキ,0,0.5,0.1,0.4,,,,0.5
15,B2,ミネカエデ,5,10,8,6,,,,5
15,B2,オガラバナ,,,0.5,,,,,
15,B2,ムラサキヤシオツツジ,,,0.1,,,,,
15,C,イワナシ,0.5,0,0.1,,,,,0
15,C,エンレイソウ,0,0.5,0.1,0.3,,,,0.5
15,C,オオバショリマ,0,0.5,0.5,0.3,,,,0.5
15,C,コイワカガミ,0,1,0.1,0.1,,,,1
15,C,ゴゼンタチバナ,0,2,0.1,0.2,,,,2
15,C,シノブカグマ,3,1,2,0.2,,,,1
15,C,ショウジョウバカマ,2,1,0.1,0.3,,,,1
15,C,シラネワラビ,1,3,2,6.3,,,,3
15,C,タニギキョウ,0.5,0,,,,,,0
15,C,ツクバネソウ,0,0.5,0.1,0.1,,,,0.5
15,C,ツマトリソウ,0.5,0.5,0.1,0.1,,,,0.5
15,C,ツルリンドウ,0.5,1,0.1,0.1,,,,1
15,C,ヒメゴヨウイチゴ,0,0.5,0.5,0.2,,,,0.5
15,C,ヒメタケシマラン,0,2,0.1,0.3,,,,2
15,C,ヒロハユキザサ,0,0.5,0.1,,,,,0.5
15,C,マイヅルソウ,1,1,0.1,0.1,,,,1
15,C,ミズバショウ,3,3,1,2,,,,3
15,C,ミヤマカンスゲ,6,18,15,11,,,,5
15,C,ヤマソテツ,0,4,2,2,,,,3
15,C,ゴゼンタチバナ,4,0,0.1,0.2,,,,0
15,C,チゴユリ,2,0,,,,,,0
15,C,ヤマソテツ,4,0,0.5,3,,,,0
15,C,サンカヨウ,,,0.1,,,,,
15,S,チシマザサ,9,95,90,75,,,,9
16,B2,オオシラビソ,2,5,2,0.5,,,,4
16,B2,オオバスノキ,0,1,1,1.2,,,,1
16,B2,クロウスゴ,1,0,0.5,,,,,0
16,B2,クロツリバナ,2,0,1,1,,,,0
16,B2,ダケカンバ,6,20,2,,,,,6
16,B2,ハリブキ,0,0.5,0.1,0.5,,,,0.5
16,B2,ミネカエデ,4,8,5,1,,,,4
16,B2,ミヤマハンノキ,3,0.5,1,1,,,,0.5
16,B2,オガラバナ,,,2,1,,,,
16,C,イヌワラビ,0,1,,0.3,,,,1
16,C,オオバノヨツバムグラ,0,1,0.1,,,,,1
16,C,エンレイソウ,0,0.5,0.5,0.7,,,,0.5
16,C,オオバタケシマラン,1,0,,0.2,,,,0
16,C,キヌガサソウ,0,0.5,0.5,0.1,,,,0.5
16,C,コガネギク,0,0.5,,,,,,0.5
16,C,ゴゼンタチバナ,0,0.5,0.1,,,,,0.5
16,C,コバイケイソウ,0,0.5,0.5,0.1,,,,0.5
16,C,ゴマナ,0,0.5,1,0.6,,,,0.5
