"sp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","Mean","Frequency","FreqCode","DominatIndex"
"ヤマブキショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,1,4,0.3,0.307692307692308,"Ⅱ",9.60768922830523
"ユキザサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ミヤマホツツジ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"エンレイソウ",0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.4,0.807692307692308,"Ⅴ",17.9743406854583
"ツクバネソウ",0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0,0.5,0.5,0,1,0,0,0,0,0,0.2,0.346153846153846,"Ⅱ",8.32050294337844
"ゼンマイ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"コメツガ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ミヤマハンノキ",0,0,0,0,0,0.5,5,0,0,0,0,0,2,0,0,0.5,5,0,1,15,2,4,2,8,0,1.8,0.461538461538462,"Ⅲ",28.8230676849157
"クロツリバナ",0,0,0,0,0,0,0,1,0,0,4,3,5,0,1,0,5,0,4,0,0,0,0,2,0,1,0.346153846153846,"Ⅱ",18.6052101883813
"ハリブキ",0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0.2,0.384615384615385,"Ⅱ",8.77058019307029
"オオバタケシマラン",0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"ミヤマカタバミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ミヤマシシガシラ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ヤマイヌワラビ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"タニギキョウ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.08,0.115384615384615,"Ⅰ",3.038218101251
"ホソバトウゲシバ",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"オオバノヨツバムグラ",0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,2,0,0,0,0.5,0.5,0,0,0.26,0.307692307692308,"Ⅱ",8.94427190999916
"コミヤマカタバミ",0,0,0,0,0,0,0,0,0,0,0,0.5,3,5,0,5,5,4,8,3,0,2,4,3,4,1.86,0.5,"Ⅲ",30.4959013639538
"フキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,5,5,10,10,5,1.42,0.269230769230769,"Ⅱ",19.5526901552623
"モミジカラマツ",0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0,8,0.4,0.192307692307692,"Ⅰ",8.77058019307029
"キヌガサソウ",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.12,0.153846153846154,"Ⅰ",4.2966892442366
"ウラジロナナカマド",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.0769230769230769,"Ⅰ",2.48069469178417
"タカネナナカマド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"イヌワラビ",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0.5,0,2,0.5,0,0,0,0,0,0.2,0.269230769230769,"Ⅱ",7.33799385705343
"ヒメワラビ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ベニバナイチゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,3,0,0,0,0,10,0,0,0.54,0.153846153846154,"Ⅰ",9.114654303753
"ミヤマメシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0.5,0,0,2,2,0,0,0.38,0.269230769230769,"Ⅱ",10.1147265068163
"ヤマトユキザサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"カニコウモリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0.06,0.115384615384615,"Ⅰ",2.63117405792109
"ゴマナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,15,0,4,5,0,0.98,0.192307692307692,"Ⅰ",13.7281294596729
"サカゲイノデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"シラネセンキュウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"タテヤマアザミ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,10,4,20,10,10,2.22,0.346153846153846,"Ⅱ",27.7211388377451
"ミヤマシシウド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.5,0.5,0,0.36,0.153846153846154,"Ⅰ",7.44208407535251
"ミヤマベニシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"メシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ヤグルマソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,2,0,0.12,0.153846153846154,"Ⅰ",4.2966892442366
"オノエヤナギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,10,0,0.5,10,10,1.58,0.269230769230769,"Ⅱ",20.6248543118398
"アクシバ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ウラジロヨウラク",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ハクモウイノデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"クマイチゴ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"ミヤマイタチシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"コメススキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"タニウツギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"バッコヤナギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0.5,0.42,0.115384615384615,"Ⅰ",6.96143221338386
"アカショウマ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"イグサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"イタドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.2,0.0769230769230769,"Ⅰ",3.92232270276368
"イヌガンソク",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"イブキコゴメグサ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"オオイタドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,20,15,3.4,0.192307692307692,"Ⅰ",25.5704155978379
"オオハナウド",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"オシダ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"キオン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"クロトウヒレン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"シラネニンジン",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ノコンギク",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ヒゲノガリヤス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0.2,0.115384615384615,"Ⅰ",4.80384461415261
"マルバダケブキ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ヤマハハコ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.04,0.115384615384615,"Ⅰ",2.1483446221183
"ヨモギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,4,5,0.96,0.230769230769231,"Ⅱ",14.884168150705
"イワオウギ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"オオバコ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"オニシモツケ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0.6,0.115384615384615,"Ⅰ",8.32050294337844
"コウゾリナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02,0.0769230769230769,"Ⅰ",1.24034734589208
"シモツケソウ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.08,0.0769230769230769,"Ⅰ",2.48069469178417
"ウラジロタデ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"スギナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"アイイタドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"アキカラマツ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.24,0.115384615384615,"Ⅰ",5.26234811584217
"セイヨウタンポポ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"テガタチドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-",0
"ヨツバヒヨドリ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0.1,0.115384615384615,"Ⅰ",3.39683110243379
